state	sex	race	age	education	party	ideology	vote_2008	state_contestedness
AL	female	white	65+	high school graduate	other	conservative	john mcCain	solid romney
AL	male	white	45-64	didn't graduate from HS	republican	conservative	john mcCain	solid romney
AL	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	female	other	45-64	some college	other	moderate	john mcCain	solid romney
AL	female	black	45-64	didn't graduate from HS	other	moderate	barack obama	solid romney
AL	female	hispanic	18-29	some college	democrat	moderate	barack obama	solid romney
AL	female	black	30-44	college graduate	democrat	conservative	barack obama	solid romney
AL	female	white	45-64	some college	republican	conservative	barack obama	solid romney
AL	male	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AL	female	white	65+	high school graduate	republican	conservative	john mcCain	solid romney
AL	male	black	45-64	college graduate	democrat	liberal	barack obama	solid romney
AL	male	white	45-64	college graduate	other	moderate	barack obama	solid romney
AL	female	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AL	male	white	65+	college graduate	other	moderate	barack obama	solid romney
AL	female	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
AL	female	white	30-44	college graduate	democrat	liberal	barack obama	solid romney
AL	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
AL	female	white	65+	some college	republican	conservative	john mcCain	solid romney
AL	female	white	18-29	some college	other	conservative	barack obama	solid romney
AL	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	18-29	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	45-64	some college	other	moderate	john mcCain	solid romney
AL	male	white	30-44	some college	republican	moderate	john mcCain	solid romney
AL	female	white	30-44	some college	republican	conservative	john mcCain	solid romney
AL	female	white	65+	high school graduate	democrat	moderate	barack obama	solid romney
AL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	female	black	30-44	some college	democrat	moderate	barack obama	solid romney
AL	male	white	45-64	didn't graduate from HS	other	moderate	john mcCain	solid romney
AL	male	black	45-64	college graduate	other	moderate	barack obama	solid romney
AL	female	white	65+	college graduate	other	moderate	john mcCain	solid romney
AL	male	white	18-29	college graduate	republican	moderate	john mcCain	solid romney
AL	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
AL	male	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
AL	female	other	18-29	some college	democrat	liberal	barack obama	solid romney
AL	male	white	30-44	some college	other	liberal	john mcCain	solid romney
AL	female	white	18-29	didn't graduate from HS	republican	conservative	john mcCain	solid romney
AL	female	white	18-29	high school graduate	republican	moderate	john mcCain	solid romney
AL	male	black	18-29	some college	other	moderate	barack obama	solid romney
AL	male	other	45-64	college graduate	democrat	liberal	barack obama	solid romney
AL	male	white	45-64	some college	republican	conservative	john mcCain	solid romney
AL	male	white	30-44	high school graduate	democrat	conservative	john mcCain	solid romney
AL	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	30-44	college graduate	other	conservative	john mcCain	solid romney
AL	female	other	18-29	college graduate	republican	moderate	john mcCain	solid romney
AL	male	white	30-44	college graduate	other	moderate	john mcCain	solid romney
AL	male	white	65+	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AL	female	black	18-29	college graduate	democrat	conservative	barack obama	solid romney
AL	female	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AL	male	black	18-29	college graduate	other	conservative	barack obama	solid romney
AL	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AL	female	white	65+	high school graduate	other	conservative	john mcCain	solid romney
AL	female	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
AL	male	black	45-64	high school graduate	democrat	conservative	barack obama	solid romney
AL	male	black	45-64	high school graduate	democrat	moderate	barack obama	solid romney
AL	male	black	18-29	some college	other	conservative	barack obama	solid romney
AL	male	white	45-64	some college	other	moderate	john mcCain	solid romney
AL	male	white	45-64	some college	other	moderate	john mcCain	solid romney
AL	female	white	65+	some college	republican	moderate	john mcCain	solid romney
AL	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
AL	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
AL	female	black	45-64	some college	democrat	moderate	barack obama	solid romney
AL	female	white	18-29	college graduate	republican	moderate	john mcCain	solid romney
AL	female	white	18-29	some college	republican	moderate	john mcCain	solid romney
AL	male	other	45-64	college graduate	other	moderate	barack obama	solid romney
AL	male	white	18-29	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	65+	college graduate	republican	conservative	john mcCain	solid romney
AL	female	black	30-44	college graduate	other	conservative	barack obama	solid romney
AL	female	hispanic	18-29	some college	republican	conservative	john mcCain	solid romney
AL	female	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AL	female	white	65+	college graduate	republican	conservative	john mcCain	solid romney
AL	male	other	18-29	some college	other	moderate	barack obama	solid romney
AL	male	white	65+	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	45-64	some college	other	conservative	john mcCain	solid romney
AL	female	black	30-44	didn't graduate from HS	democrat	moderate	barack obama	solid romney
AL	male	white	65+	some college	other	conservative	john mcCain	solid romney
AL	female	white	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid romney
AL	male	black	30-44	college graduate	democrat	liberal	barack obama	solid romney
AL	male	white	45-64	some college	republican	conservative	john mcCain	solid romney
AR	female	black	18-29	some college	democrat	liberal	barack obama	solid romney
AR	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AR	female	white	45-64	high school graduate	other	conservative	john mcCain	solid romney
AR	male	black	18-29	high school graduate	democrat	moderate	barack obama	solid romney
AR	male	white	45-64	some college	democrat	moderate	barack obama	solid romney
AR	female	hispanic	30-44	some college	other	moderate	john mcCain	solid romney
AR	female	black	30-44	some college	democrat	liberal	barack obama	solid romney
AR	female	white	65+	didn't graduate from HS	republican	conservative	john mcCain	solid romney
AR	female	black	30-44	college graduate	democrat	conservative	barack obama	solid romney
AR	male	white	45-64	some college	democrat	liberal	barack obama	solid romney
AR	female	white	45-64	some college	democrat	moderate	john mcCain	solid romney
AR	female	white	18-29	college graduate	other	moderate	barack obama	solid romney
AR	female	white	65+	didn't graduate from HS	democrat	liberal	barack obama	solid romney
AR	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AR	male	black	45-64	high school graduate	democrat	moderate	barack obama	solid romney
AR	female	white	65+	high school graduate	democrat	conservative	barack obama	solid romney
AR	female	white	30-44	high school graduate	democrat	liberal	barack obama	solid romney
AR	male	black	45-64	high school graduate	democrat	liberal	barack obama	solid romney
AR	female	black	18-29	some college	democrat	liberal	barack obama	solid romney
AR	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
AR	female	black	30-44	some college	democrat	moderate	barack obama	solid romney
AR	male	white	30-44	college graduate	democrat	liberal	barack obama	solid romney
AR	female	white	30-44	some college	democrat	moderate	barack obama	solid romney
AR	male	black	65+	high school graduate	democrat	liberal	barack obama	solid romney
AR	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid romney
AR	female	white	30-44	college graduate	democrat	liberal	barack obama	solid romney
AR	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
AR	female	black	18-29	high school graduate	democrat	conservative	barack obama	solid romney
AR	female	black	18-29	some college	democrat	moderate	barack obama	solid romney
AR	male	white	65+	high school graduate	democrat	moderate	john mcCain	solid romney
AR	female	black	65+	high school graduate	democrat	conservative	barack obama	solid romney
AR	female	white	45-64	some college	other	moderate	john mcCain	solid romney
AR	female	white	65+	some college	democrat	conservative	barack obama	solid romney
AR	female	white	30-44	college graduate	democrat	moderate	barack obama	solid romney
AR	female	black	45-64	some college	democrat	moderate	barack obama	solid romney
AR	male	white	65+	high school graduate	republican	conservative	john mcCain	solid romney
AR	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AR	male	black	18-29	high school graduate	other	liberal	barack obama	solid romney
AR	female	white	45-64	college graduate	democrat	moderate	barack obama	solid romney
AR	female	black	18-29	high school graduate	democrat	liberal	barack obama	solid romney
AR	female	black	18-29	college graduate	democrat	moderate	barack obama	solid romney
AR	male	black	30-44	high school graduate	democrat	moderate	barack obama	solid romney
AR	male	black	45-64	high school graduate	democrat	conservative	barack obama	solid romney
AZ	male	white	30-44	some college	democrat	moderate	john mcCain	solid romney
AZ	female	white	30-44	college graduate	other	conservative	john mcCain	solid romney
AZ	female	hispanic	30-44	some college	democrat	moderate	barack obama	solid romney
AZ	male	white	65+	college graduate	other	moderate	barack obama	solid romney
AZ	female	hispanic	30-44	some college	republican	moderate	john mcCain	solid romney
AZ	female	hispanic	18-29	college graduate	republican	moderate	john mcCain	solid romney
AZ	female	hispanic	18-29	some college	other	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	republican	liberal	john mcCain	solid romney
AZ	male	white	30-44	college graduate	other	moderate	john mcCain	solid romney
AZ	female	white	30-44	some college	other	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AZ	male	hispanic	30-44	some college	democrat	moderate	barack obama	solid romney
AZ	female	white	30-44	college graduate	other	moderate	barack obama	solid romney
AZ	male	white	30-44	some college	democrat	moderate	barack obama	solid romney
AZ	female	white	65+	some college	democrat	liberal	barack obama	solid romney
AZ	male	hispanic	30-44	high school graduate	democrat	conservative	barack obama	solid romney
AZ	male	white	45-64	college graduate	other	liberal	john mcCain	solid romney
AZ	female	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	45-64	college graduate	other	moderate	john mcCain	solid romney
AZ	female	hispanic	45-64	didn't graduate from HS	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
AZ	male	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	other	moderate	john mcCain	solid romney
AZ	female	white	65+	some college	republican	conservative	john mcCain	solid romney
AZ	female	hispanic	18-29	college graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	65+	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	65+	some college	democrat	liberal	barack obama	solid romney
AZ	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	male	white	45-64	high school graduate	democrat	moderate	john mcCain	solid romney
AZ	female	hispanic	18-29	some college	democrat	moderate	barack obama	solid romney
AZ	male	other	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	college graduate	republican	liberal	john mcCain	solid romney
AZ	male	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	female	hispanic	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	male	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	male	white	30-44	college graduate	other	moderate	john mcCain	solid romney
AZ	male	white	30-44	some college	other	conservative	john mcCain	solid romney
AZ	male	hispanic	45-64	some college	other	moderate	john mcCain	solid romney
AZ	male	hispanic	30-44	college graduate	democrat	moderate	john mcCain	solid romney
AZ	female	white	18-29	some college	republican	conservative	john mcCain	solid romney
AZ	male	white	18-29	high school graduate	democrat	moderate	barack obama	solid romney
AZ	male	hispanic	18-29	college graduate	republican	liberal	barack obama	solid romney
AZ	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
AZ	female	hispanic	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid romney
AZ	male	black	30-44	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
AZ	male	white	65+	college graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	other	conservative	john mcCain	solid romney
AZ	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	male	hispanic	65+	college graduate	other	moderate	barack obama	solid romney
AZ	female	hispanic	18-29	some college	republican	moderate	barack obama	solid romney
AZ	female	white	30-44	high school graduate	republican	conservative	barack obama	solid romney
AZ	female	other	65+	didn't graduate from HS	democrat	liberal	john mcCain	solid romney
AZ	female	white	18-29	college graduate	democrat	liberal	barack obama	solid romney
AZ	male	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
AZ	female	hispanic	30-44	college graduate	democrat	moderate	john mcCain	solid romney
AZ	female	hispanic	30-44	college graduate	democrat	liberal	barack obama	solid romney
AZ	female	white	18-29	some college	republican	moderate	john mcCain	solid romney
AZ	female	white	30-44	high school graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
AZ	female	hispanic	30-44	high school graduate	democrat	liberal	barack obama	solid romney
AZ	female	white	18-29	some college	other	liberal	john mcCain	solid romney
AZ	female	white	65+	college graduate	other	moderate	john mcCain	solid romney
AZ	female	white	45-64	college graduate	democrat	liberal	barack obama	solid romney
AZ	female	white	30-44	college graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
AZ	male	hispanic	18-29	high school graduate	other	liberal	barack obama	solid romney
AZ	female	white	45-64	didn't graduate from HS	democrat	moderate	john mcCain	solid romney
AZ	male	white	45-64	some college	democrat	moderate	barack obama	solid romney
AZ	female	white	65+	high school graduate	democrat	liberal	barack obama	solid romney
AZ	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
AZ	female	hispanic	45-64	some college	other	conservative	john mcCain	solid romney
AZ	male	white	65+	college graduate	democrat	liberal	barack obama	solid romney
AZ	female	white	30-44	some college	republican	moderate	john mcCain	solid romney
AZ	male	hispanic	18-29	some college	other	liberal	john mcCain	solid romney
AZ	male	white	30-44	high school graduate	democrat	conservative	john mcCain	solid romney
AZ	female	white	65+	some college	other	moderate	barack obama	solid romney
AZ	male	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
AZ	male	white	45-64	some college	democrat	moderate	john mcCain	solid romney
AZ	female	white	30-44	college graduate	democrat	moderate	barack obama	solid romney
AZ	female	white	65+	college graduate	democrat	liberal	barack obama	solid romney
AZ	male	hispanic	30-44	didn't graduate from HS	democrat	liberal	barack obama	solid romney
AZ	female	white	18-29	high school graduate	republican	moderate	john mcCain	solid romney
AZ	female	hispanic	65+	didn't graduate from HS	democrat	moderate	barack obama	solid romney
AZ	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AZ	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AZ	male	white	30-44	some college	other	conservative	john mcCain	solid romney
AZ	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
AZ	male	white	18-29	high school graduate	other	liberal	barack obama	solid romney
AZ	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	high school graduate	other	moderate	barack obama	solid romney
AZ	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AZ	male	white	18-29	some college	republican	moderate	john mcCain	solid romney
AZ	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
AZ	female	white	45-64	some college	democrat	conservative	john mcCain	solid romney
AZ	female	white	30-44	some college	other	moderate	john mcCain	solid romney
AZ	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
CA	female	other	45-64	some college	other	moderate	barack obama	solid obama
CA	male	white	45-64	high school graduate	other	moderate	john mcCain	solid obama
CA	male	white	45-64	some college	republican	conservative	john mcCain	solid obama
CA	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
CA	female	white	18-29	some college	other	moderate	barack obama	solid obama
CA	male	hispanic	18-29	college graduate	democrat	moderate	john mcCain	solid obama
CA	male	hispanic	30-44	high school graduate	other	moderate	barack obama	solid obama
CA	female	other	18-29	some college	democrat	liberal	barack obama	solid obama
CA	female	other	30-44	some college	democrat	liberal	barack obama	solid obama
CA	female	white	45-64	some college	republican	conservative	john mcCain	solid obama
CA	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	30-44	some college	republican	moderate	john mcCain	solid obama
CA	male	black	45-64	some college	democrat	moderate	barack obama	solid obama
CA	female	white	30-44	some college	republican	moderate	john mcCain	solid obama
CA	male	white	45-64	some college	other	conservative	john mcCain	solid obama
CA	male	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
CA	female	white	45-64	some college	other	moderate	barack obama	solid obama
CA	male	white	65+	college graduate	democrat	moderate	john mcCain	solid obama
CA	female	black	45-64	college graduate	other	moderate	barack obama	solid obama
CA	female	hispanic	45-64	college graduate	republican	conservative	john mcCain	solid obama
CA	female	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
CA	male	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
CA	female	other	30-44	college graduate	democrat	moderate	john mcCain	solid obama
CA	male	white	30-44	some college	republican	conservative	john mcCain	solid obama
CA	female	black	18-29	high school graduate	other	moderate	john mcCain	solid obama
CA	male	hispanic	65+	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	65+	high school graduate	republican	conservative	john mcCain	solid obama
CA	male	black	18-29	high school graduate	other	liberal	barack obama	solid obama
CA	female	white	65+	high school graduate	republican	conservative	john mcCain	solid obama
CA	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
CA	female	black	65+	some college	other	moderate	barack obama	solid obama
CA	male	other	45-64	some college	democrat	conservative	barack obama	solid obama
CA	female	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
CA	female	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	female	hispanic	30-44	college graduate	democrat	moderate	john mcCain	solid obama
CA	female	hispanic	30-44	high school graduate	democrat	moderate	barack obama	solid obama
CA	male	white	18-29	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	65+	some college	democrat	liberal	barack obama	solid obama
CA	female	hispanic	30-44	high school graduate	other	moderate	barack obama	solid obama
CA	male	hispanic	65+	high school graduate	republican	moderate	barack obama	solid obama
CA	male	white	30-44	some college	other	moderate	barack obama	solid obama
CA	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
CA	male	hispanic	30-44	some college	other	liberal	barack obama	solid obama
CA	male	white	18-29	some college	democrat	moderate	barack obama	solid obama
CA	male	white	18-29	some college	other	moderate	barack obama	solid obama
CA	female	white	18-29	some college	democrat	liberal	barack obama	solid obama
CA	male	black	65+	high school graduate	republican	conservative	john mcCain	solid obama
CA	female	black	45-64	some college	democrat	moderate	barack obama	solid obama
CA	female	white	30-44	some college	republican	conservative	barack obama	solid obama
CA	female	white	18-29	some college	democrat	conservative	barack obama	solid obama
CA	female	black	18-29	college graduate	other	moderate	barack obama	solid obama
CA	female	hispanic	18-29	some college	democrat	moderate	barack obama	solid obama
CA	female	other	45-64	college graduate	other	moderate	barack obama	solid obama
CA	female	hispanic	45-64	some college	other	moderate	john mcCain	solid obama
CA	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
CA	female	white	65+	college graduate	republican	moderate	john mcCain	solid obama
CA	female	hispanic	18-29	some college	other	moderate	barack obama	solid obama
CA	male	white	45-64	some college	republican	conservative	john mcCain	solid obama
CA	male	hispanic	18-29	high school graduate	democrat	liberal	barack obama	solid obama
CA	female	white	65+	college graduate	republican	moderate	john mcCain	solid obama
CA	male	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	male	hispanic	30-44	college graduate	democrat	moderate	barack obama	solid obama
CA	male	white	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	other	liberal	barack obama	solid obama
CA	female	white	45-64	college graduate	other	moderate	john mcCain	solid obama
CA	female	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
CA	female	black	18-29	some college	democrat	moderate	barack obama	solid obama
CA	male	other	45-64	college graduate	democrat	conservative	barack obama	solid obama
CA	male	other	18-29	some college	other	moderate	barack obama	solid obama
CA	male	white	65+	college graduate	other	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
CA	female	black	45-64	high school graduate	democrat	conservative	barack obama	solid obama
CA	female	white	18-29	college graduate	republican	conservative	john mcCain	solid obama
CA	female	black	30-44	college graduate	democrat	moderate	barack obama	solid obama
CA	male	hispanic	65+	didn't graduate from HS	republican	moderate	john mcCain	solid obama
CA	female	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	female	black	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	65+	some college	republican	conservative	john mcCain	solid obama
CA	male	black	18-29	high school graduate	republican	conservative	barack obama	solid obama
CA	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
CA	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
CA	male	other	45-64	college graduate	other	liberal	barack obama	solid obama
CA	female	other	45-64	college graduate	other	liberal	barack obama	solid obama
CA	female	white	45-64	some college	other	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
CA	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
CA	male	hispanic	18-29	some college	democrat	liberal	barack obama	solid obama
CA	male	black	30-44	college graduate	democrat	moderate	barack obama	solid obama
CA	male	white	30-44	some college	republican	moderate	john mcCain	solid obama
CA	female	white	18-29	college graduate	other	moderate	john mcCain	solid obama
CA	female	white	45-64	college graduate	other	moderate	barack obama	solid obama
CA	female	black	18-29	some college	other	conservative	john mcCain	solid obama
CA	female	hispanic	45-64	some college	other	conservative	barack obama	solid obama
CA	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
CA	male	white	65+	college graduate	other	conservative	john mcCain	solid obama
CA	female	other	30-44	college graduate	democrat	moderate	john mcCain	solid obama
CA	male	white	45-64	some college	republican	moderate	barack obama	solid obama
CA	female	white	45-64	college graduate	other	liberal	barack obama	solid obama
CA	female	black	45-64	college graduate	other	moderate	barack obama	solid obama
CA	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
CA	male	white	65+	some college	republican	conservative	john mcCain	solid obama
CA	male	hispanic	65+	some college	republican	conservative	john mcCain	solid obama
CA	female	other	45-64	some college	other	liberal	barack obama	solid obama
CA	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
CA	male	white	30-44	college graduate	republican	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	other	conservative	john mcCain	solid obama
CA	female	white	65+	some college	democrat	liberal	barack obama	solid obama
CA	female	white	45-64	some college	democrat	conservative	barack obama	solid obama
CA	male	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
CA	female	black	18-29	high school graduate	other	liberal	barack obama	solid obama
CA	male	white	65+	some college	republican	conservative	john mcCain	solid obama
CA	female	white	30-44	some college	democrat	moderate	barack obama	solid obama
CA	female	white	65+	some college	democrat	moderate	barack obama	solid obama
CA	female	white	18-29	some college	democrat	liberal	barack obama	solid obama
CA	female	white	45-64	high school graduate	other	moderate	barack obama	solid obama
CA	male	black	45-64	high school graduate	democrat	conservative	barack obama	solid obama
CA	male	hispanic	18-29	some college	other	conservative	barack obama	solid obama
CA	female	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
CA	female	other	18-29	some college	democrat	conservative	barack obama	solid obama
CA	male	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
CA	female	white	18-29	some college	other	moderate	barack obama	solid obama
CA	male	white	30-44	college graduate	other	conservative	john mcCain	solid obama
CA	female	hispanic	30-44	high school graduate	democrat	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	other	conservative	john mcCain	solid obama
CA	male	white	30-44	college graduate	other	liberal	barack obama	solid obama
CA	male	other	45-64	some college	other	conservative	john mcCain	solid obama
CA	female	white	30-44	some college	other	moderate	john mcCain	solid obama
CA	female	white	30-44	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
CA	female	white	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	male	white	45-64	college graduate	republican	moderate	barack obama	solid obama
CA	female	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
CA	female	white	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid obama
CA	male	other	45-64	some college	democrat	moderate	barack obama	solid obama
CA	male	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
CA	female	white	65+	college graduate	democrat	moderate	john mcCain	solid obama
CA	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
CA	male	other	18-29	some college	other	moderate	barack obama	solid obama
