state	sex	race	age	education	party	ideology	state_contestedness	vote
AL	female	hispanic	18-29	some college	A	moderate	solid B	A
AL	female	black	30-44	college graduate	A	conservative	solid B	A
AL	female	white	45-64	some college	B	conservative	solid B	A
AL	male	black	30-44	college graduate	A	moderate	solid B	A
AL	female	white	65+	high school graduate	B	conservative	solid B	B
AL	male	black	45-64	college graduate	A	liberal	solid B	A
AL	male	white	45-64	college graduate	other	moderate	solid B	A
AL	female	black	30-44	college graduate	A	moderate	solid B	A
AL	male	white	65+	college graduate	other	moderate	solid B	A
AL	female	black	45-64	college graduate	A	moderate	solid B	A
AL	female	white	30-44	college graduate	A	liberal	solid B	A
AL	female	white	45-64	some college	B	conservative	solid B	B
AL	female	white	65+	some college	B	conservative	solid B	B
AL	female	white	18-29	some college	other	conservative	solid B	A
AL	female	white	45-64	college graduate	B	conservative	solid B	B
AL	male	white	18-29	college graduate	B	conservative	solid B	B
AL	female	white	45-64	some college	other	moderate	solid B	B
AL	male	white	30-44	some college	B	moderate	solid B	B
AL	female	white	30-44	some college	B	conservative	solid B	B
AL	female	white	65+	high school graduate	A	moderate	solid B	A
AL	male	white	45-64	college graduate	B	conservative	solid B	B
AL	female	black	30-44	some college	A	moderate	solid B	A
AL	male	white	45-64	didn't graduate from HS	other	moderate	solid B	B
AL	male	black	45-64	college graduate	other	moderate	solid B	A
AL	female	white	65+	college graduate	other	moderate	solid B	B
AL	male	white	18-29	college graduate	B	moderate	solid B	B
AL	female	white	45-64	college graduate	B	moderate	solid B	B
AL	male	black	45-64	college graduate	A	moderate	solid B	A
AL	female	other	18-29	some college	A	liberal	solid B	A
AL	male	white	30-44	some college	other	liberal	solid B	B
AL	female	white	18-29	didn't graduate from HS	B	conservative	solid B	B
AL	female	white	18-29	high school graduate	B	moderate	solid B	B
AL	male	black	18-29	some college	other	moderate	solid B	A
AL	male	other	45-64	college graduate	A	liberal	solid B	A
AL	male	white	45-64	some college	B	conservative	solid B	B
AL	male	white	30-44	high school graduate	A	conservative	solid B	B
AL	male	white	30-44	college graduate	B	conservative	solid B	B
AL	female	white	30-44	college graduate	other	conservative	solid B	B
AL	female	other	18-29	college graduate	B	moderate	solid B	B
AL	male	white	30-44	college graduate	other	moderate	solid B	B
AL	male	white	65+	college graduate	B	conservative	solid B	B
AL	male	white	30-44	some college	B	conservative	solid B	B
AL	female	black	18-29	college graduate	A	conservative	solid B	A
AL	female	black	30-44	college graduate	A	moderate	solid B	A
AL	male	black	18-29	college graduate	other	conservative	solid B	A
AL	male	white	30-44	college graduate	B	conservative	solid B	B
AL	male	white	30-44	some college	B	conservative	solid B	B
AL	female	white	65+	high school graduate	other	conservative	solid B	B
AL	female	black	45-64	college graduate	A	moderate	solid B	A
AL	male	black	45-64	high school graduate	A	conservative	solid B	A
AL	male	black	45-64	high school graduate	A	moderate	solid B	A
AL	male	black	18-29	some college	other	conservative	solid B	A
AL	male	white	45-64	some college	other	moderate	solid B	B
AL	male	white	45-64	some college	other	moderate	solid B	B
AL	female	white	65+	some college	B	moderate	solid B	B
AL	male	white	45-64	college graduate	other	conservative	solid B	B
AL	male	white	30-44	college graduate	B	conservative	solid B	B
AL	female	white	30-44	college graduate	B	moderate	solid B	B
AL	female	black	45-64	some college	A	moderate	solid B	A
AL	female	white	18-29	college graduate	B	moderate	solid B	B
AL	female	white	18-29	some college	B	moderate	solid B	B
AL	male	other	45-64	college graduate	other	moderate	solid B	A
AL	male	white	18-29	college graduate	B	conservative	solid B	B
AL	female	white	65+	college graduate	B	conservative	solid B	B
AL	female	black	30-44	college graduate	other	conservative	solid B	A
AL	female	hispanic	18-29	some college	B	conservative	solid B	B
AL	female	black	30-44	college graduate	A	moderate	solid B	A
AL	female	white	65+	college graduate	B	conservative	solid B	B
AL	male	other	18-29	some college	other	moderate	solid B	A
AL	male	white	65+	college graduate	B	conservative	solid B	B
AL	male	white	45-64	some college	other	conservative	solid B	B
AL	female	black	30-44	didn't graduate from HS	A	moderate	solid B	A
AL	male	white	65+	some college	other	conservative	solid B	B
AL	female	white	45-64	didn't graduate from HS	A	moderate	solid B	A
AL	male	black	30-44	college graduate	A	liberal	solid B	A
AL	male	white	45-64	some college	B	conservative	solid B	B
AR	female	black	18-29	some college	A	liberal	solid B	A
AR	female	white	30-44	college graduate	B	conservative	solid B	B
AR	female	white	45-64	high school graduate	other	conservative	solid B	B
AR	male	black	18-29	high school graduate	A	moderate	solid B	A
AR	male	white	45-64	some college	A	moderate	solid B	A
AR	female	hispanic	30-44	some college	other	moderate	solid B	B
AR	female	black	30-44	some college	A	liberal	solid B	A
AR	female	white	65+	didn't graduate from HS	B	conservative	solid B	B
AR	female	black	30-44	college graduate	A	conservative	solid B	A
AR	male	white	45-64	some college	A	liberal	solid B	A
AR	female	white	45-64	some college	A	moderate	solid B	B
AR	female	white	18-29	college graduate	other	moderate	solid B	A
AR	female	white	65+	didn't graduate from HS	A	liberal	solid B	A
AR	male	white	30-44	college graduate	B	conservative	solid B	B
AR	male	black	45-64	high school graduate	A	moderate	solid B	A
AR	female	white	65+	high school graduate	A	conservative	solid B	A
AR	female	white	30-44	high school graduate	A	liberal	solid B	A
AR	male	black	45-64	high school graduate	A	liberal	solid B	A
AR	female	black	18-29	some college	A	liberal	solid B	A
AR	female	white	45-64	some college	A	moderate	solid B	A
AR	female	black	30-44	some college	A	moderate	solid B	A
AR	male	white	30-44	college graduate	A	liberal	solid B	A
AR	female	white	30-44	some college	A	moderate	solid B	A
AR	male	black	65+	high school graduate	A	liberal	solid B	A
AR	female	white	45-64	high school graduate	A	moderate	solid B	A
AR	female	white	30-44	college graduate	A	liberal	solid B	A
AR	male	white	45-64	college graduate	other	conservative	solid B	B
AR	female	black	18-29	high school graduate	A	conservative	solid B	A
AR	female	black	18-29	some college	A	moderate	solid B	A
AR	male	white	65+	high school graduate	A	moderate	solid B	B
AR	female	black	65+	high school graduate	A	conservative	solid B	A
AR	female	white	45-64	some college	other	moderate	solid B	B
AR	female	white	65+	some college	A	conservative	solid B	A
AR	female	white	30-44	college graduate	A	moderate	solid B	A
AR	female	black	45-64	some college	A	moderate	solid B	A
AR	male	white	65+	high school graduate	B	conservative	solid B	B
AR	male	white	30-44	some college	B	conservative	solid B	B
AR	male	black	18-29	high school graduate	other	liberal	solid B	A
AR	female	white	45-64	college graduate	A	moderate	solid B	A
AR	female	black	18-29	high school graduate	A	liberal	solid B	A
AR	female	black	18-29	college graduate	A	moderate	solid B	A
AR	male	black	30-44	high school graduate	A	moderate	solid B	A
AR	male	black	45-64	high school graduate	A	conservative	solid B	A
AZ	male	white	30-44	some college	A	moderate	solid B	B
AZ	female	white	30-44	college graduate	other	conservative	solid B	B
AZ	female	hispanic	30-44	some college	A	moderate	solid B	A
AZ	male	white	65+	college graduate	other	moderate	solid B	A
AZ	female	hispanic	30-44	some college	B	moderate	solid B	B
AZ	female	hispanic	18-29	college graduate	B	moderate	solid B	B
AZ	female	hispanic	18-29	some college	other	conservative	solid B	B
AZ	female	white	45-64	some college	B	liberal	solid B	B
AZ	male	white	30-44	college graduate	other	moderate	solid B	B
AZ	female	white	30-44	some college	other	conservative	solid B	B
AZ	female	white	45-64	some college	B	conservative	solid B	B
AZ	male	white	30-44	some college	B	conservative	solid B	B
AZ	male	hispanic	30-44	some college	A	moderate	solid B	A
AZ	female	white	30-44	college graduate	other	moderate	solid B	A
AZ	male	white	30-44	some college	A	moderate	solid B	A
AZ	female	white	65+	some college	A	liberal	solid B	A
AZ	male	hispanic	30-44	high school graduate	A	conservative	solid B	A
AZ	male	white	45-64	college graduate	other	liberal	solid B	B
AZ	female	black	30-44	college graduate	A	moderate	solid B	A
AZ	female	white	45-64	college graduate	other	moderate	solid B	B
AZ	female	hispanic	45-64	didn't graduate from HS	B	conservative	solid B	B
AZ	female	white	45-64	some college	A	moderate	solid B	A
AZ	male	white	45-64	some college	B	conservative	solid B	B
AZ	female	white	45-64	some college	other	moderate	solid B	B
AZ	female	white	65+	some college	B	conservative	solid B	B
AZ	female	hispanic	18-29	college graduate	A	moderate	solid B	A
AZ	female	white	65+	college graduate	B	conservative	solid B	B
AZ	female	white	65+	some college	A	liberal	solid B	A
AZ	female	white	45-64	college graduate	B	conservative	solid B	B
AZ	female	white	45-64	some college	B	conservative	solid B	B
AZ	male	white	45-64	high school graduate	A	moderate	solid B	B
AZ	female	hispanic	18-29	some college	A	moderate	solid B	A
AZ	male	other	45-64	college graduate	B	conservative	solid B	B
AZ	female	white	45-64	college graduate	B	liberal	solid B	B
AZ	male	white	45-64	some college	B	conservative	solid B	B
AZ	female	hispanic	45-64	some college	B	conservative	solid B	B
AZ	male	white	45-64	some college	B	conservative	solid B	B
AZ	male	white	30-44	college graduate	other	moderate	solid B	B
AZ	male	white	30-44	some college	other	conservative	solid B	B
AZ	male	hispanic	45-64	some college	other	moderate	solid B	B
AZ	male	hispanic	30-44	college graduate	A	moderate	solid B	B
AZ	female	white	18-29	some college	B	conservative	solid B	B
AZ	male	white	18-29	high school graduate	A	moderate	solid B	A
AZ	male	hispanic	18-29	college graduate	B	liberal	solid B	A
AZ	male	white	30-44	some college	B	conservative	solid B	B
AZ	female	hispanic	45-64	didn't graduate from HS	A	moderate	solid B	A
AZ	male	black	30-44	college graduate	B	conservative	solid B	B
AZ	female	white	45-64	college graduate	B	conservative	solid B	B
AZ	female	white	45-64	college graduate	B	moderate	solid B	B
AZ	male	white	65+	college graduate	A	moderate	solid B	A
AZ	female	white	45-64	high school graduate	B	conservative	solid B	B
AZ	female	white	45-64	some college	other	conservative	solid B	B
AZ	male	white	45-64	college graduate	B	conservative	solid B	B
AZ	male	hispanic	65+	college graduate	other	moderate	solid B	A
AZ	female	hispanic	18-29	some college	B	moderate	solid B	A
AZ	female	white	30-44	high school graduate	B	conservative	solid B	A
AZ	female	other	65+	didn't graduate from HS	A	liberal	solid B	B
AZ	female	white	18-29	college graduate	A	liberal	solid B	A
AZ	male	white	30-44	college graduate	B	moderate	solid B	B
AZ	female	hispanic	30-44	college graduate	A	moderate	solid B	B
AZ	female	hispanic	30-44	college graduate	A	liberal	solid B	A
AZ	female	white	18-29	some college	B	moderate	solid B	B
AZ	female	white	30-44	high school graduate	A	moderate	solid B	A
AZ	female	white	45-64	some college	A	moderate	solid B	A
AZ	female	hispanic	30-44	high school graduate	A	liberal	solid B	A
AZ	female	white	18-29	some college	other	liberal	solid B	B
AZ	female	white	65+	college graduate	other	moderate	solid B	B
AZ	female	white	45-64	college graduate	A	liberal	solid B	A
AZ	female	white	30-44	college graduate	A	moderate	solid B	A
AZ	female	white	45-64	college graduate	B	moderate	solid B	B
AZ	male	hispanic	18-29	high school graduate	other	liberal	solid B	A
AZ	female	white	45-64	didn't graduate from HS	A	moderate	solid B	B
AZ	male	white	45-64	some college	A	moderate	solid B	A
AZ	female	white	65+	high school graduate	A	liberal	solid B	A
AZ	male	white	18-29	some college	B	conservative	solid B	B
AZ	female	hispanic	45-64	some college	other	conservative	solid B	B
AZ	male	white	65+	college graduate	A	liberal	solid B	A
AZ	female	white	30-44	some college	B	moderate	solid B	B
AZ	male	hispanic	18-29	some college	other	liberal	solid B	B
AZ	male	white	30-44	high school graduate	A	conservative	solid B	B
AZ	female	white	65+	some college	other	moderate	solid B	A
AZ	male	white	45-64	college graduate	B	moderate	solid B	B
AZ	male	white	45-64	some college	A	moderate	solid B	B
AZ	female	white	30-44	college graduate	A	moderate	solid B	A
AZ	female	white	65+	college graduate	A	liberal	solid B	A
AZ	male	hispanic	30-44	didn't graduate from HS	A	liberal	solid B	A
AZ	female	white	18-29	high school graduate	B	moderate	solid B	B
AZ	female	hispanic	65+	didn't graduate from HS	A	moderate	solid B	A
AZ	male	white	45-64	college graduate	B	conservative	solid B	B
AZ	male	white	30-44	college graduate	B	conservative	solid B	B
AZ	male	white	45-64	college graduate	B	conservative	solid B	B
AZ	male	white	30-44	some college	other	conservative	solid B	B
AZ	male	white	45-64	college graduate	other	conservative	solid B	B
AZ	male	white	18-29	high school graduate	other	liberal	solid B	A
AZ	female	white	45-64	some college	B	conservative	solid B	B
AZ	female	white	45-64	high school graduate	other	moderate	solid B	A
AZ	female	white	30-44	college graduate	B	conservative	solid B	B
AZ	male	white	18-29	some college	B	moderate	solid B	B
AZ	female	white	30-44	college graduate	B	conservative	solid B	B
AZ	female	white	45-64	some college	A	conservative	solid B	B
AZ	female	white	30-44	some college	other	moderate	solid B	B
AZ	female	white	45-64	some college	B	conservative	solid B	B
CA	female	other	45-64	some college	other	moderate	solid A	A
CA	male	white	45-64	high school graduate	other	moderate	solid A	B
CA	male	white	45-64	some college	B	conservative	solid A	B
CA	male	white	30-44	college graduate	other	moderate	solid A	B
CA	female	white	18-29	some college	other	moderate	solid A	A
CA	male	hispanic	18-29	college graduate	A	moderate	solid A	B
CA	male	hispanic	30-44	high school graduate	other	moderate	solid A	A
CA	female	other	18-29	some college	A	liberal	solid A	A
CA	female	other	30-44	some college	A	liberal	solid A	A
CA	female	white	45-64	some college	B	conservative	solid A	B
CA	male	white	65+	college graduate	A	moderate	solid A	A
CA	female	white	30-44	some college	B	moderate	solid A	B
CA	male	black	45-64	some college	A	moderate	solid A	A
CA	female	white	30-44	some college	B	moderate	solid A	B
CA	male	white	45-64	some college	other	conservative	solid A	B
CA	male	white	18-29	college graduate	A	liberal	solid A	A
CA	female	white	45-64	some college	other	moderate	solid A	A
CA	male	white	65+	college graduate	A	moderate	solid A	B
CA	female	black	45-64	college graduate	other	moderate	solid A	A
CA	female	hispanic	45-64	college graduate	B	conservative	solid A	B
CA	female	white	18-29	college graduate	A	liberal	solid A	A
CA	male	white	45-64	college graduate	A	liberal	solid A	A
CA	female	other	30-44	college graduate	A	moderate	solid A	B
CA	male	white	30-44	some college	B	conservative	solid A	B
CA	female	black	18-29	high school graduate	other	moderate	solid A	B
CA	male	hispanic	65+	college graduate	A	moderate	solid A	A
CA	female	white	65+	high school graduate	B	conservative	solid A	B
CA	male	black	18-29	high school graduate	other	liberal	solid A	A
CA	female	white	65+	high school graduate	B	conservative	solid A	B
CA	female	white	45-64	college graduate	B	conservative	solid A	B
CA	female	black	65+	some college	other	moderate	solid A	A
CA	male	other	45-64	some college	A	conservative	solid A	A
CA	female	white	45-64	college graduate	B	moderate	solid A	B
CA	female	white	45-64	college graduate	A	moderate	solid A	A
CA	female	hispanic	30-44	college graduate	A	moderate	solid A	B
CA	female	hispanic	30-44	high school graduate	A	moderate	solid A	A
CA	male	white	18-29	college graduate	A	moderate	solid A	A
CA	female	white	65+	some college	A	liberal	solid A	A
CA	female	hispanic	30-44	high school graduate	other	moderate	solid A	A
CA	male	hispanic	65+	high school graduate	B	moderate	solid A	A
CA	male	white	30-44	some college	other	moderate	solid A	A
CA	female	white	30-44	college graduate	B	conservative	solid A	B
CA	male	hispanic	30-44	some college	other	liberal	solid A	A
CA	male	white	18-29	some college	A	moderate	solid A	A
CA	male	white	18-29	some college	other	moderate	solid A	A
CA	female	white	18-29	some college	A	liberal	solid A	A
CA	male	black	65+	high school graduate	B	conservative	solid A	B
CA	female	black	45-64	some college	A	moderate	solid A	A
CA	female	white	30-44	some college	B	conservative	solid A	A
CA	female	white	18-29	some college	A	conservative	solid A	A
CA	female	black	18-29	college graduate	other	moderate	solid A	A
CA	female	hispanic	18-29	some college	A	moderate	solid A	A
CA	female	other	45-64	college graduate	other	moderate	solid A	A
CA	female	hispanic	45-64	some college	other	moderate	solid A	B
CA	female	white	30-44	college graduate	A	liberal	solid A	A
CA	female	white	65+	college graduate	B	moderate	solid A	B
CA	female	hispanic	18-29	some college	other	moderate	solid A	A
CA	male	white	45-64	some college	B	conservative	solid A	B
CA	male	hispanic	18-29	high school graduate	A	liberal	solid A	A
CA	female	white	65+	college graduate	B	moderate	solid A	B
CA	male	white	45-64	college graduate	A	moderate	solid A	A
CA	male	hispanic	30-44	college graduate	A	moderate	solid A	A
CA	male	white	45-64	didn't graduate from HS	A	moderate	solid A	A
CA	male	white	45-64	college graduate	other	liberal	solid A	A
CA	female	white	45-64	college graduate	other	moderate	solid A	B
CA	female	white	30-44	college graduate	B	moderate	solid A	B
CA	female	black	18-29	some college	A	moderate	solid A	A
CA	male	other	45-64	college graduate	A	conservative	solid A	A
CA	male	other	18-29	some college	other	moderate	solid A	A
CA	male	white	65+	college graduate	other	moderate	solid A	A
CA	male	white	45-64	college graduate	B	moderate	solid A	B
CA	female	black	45-64	high school graduate	A	conservative	solid A	A
CA	female	white	18-29	college graduate	B	conservative	solid A	B
CA	female	black	30-44	college graduate	A	moderate	solid A	A
CA	male	hispanic	65+	didn't graduate from HS	B	moderate	solid A	B
CA	female	white	45-64	college graduate	A	moderate	solid A	A
CA	female	black	45-64	college graduate	A	moderate	solid A	A
CA	female	white	65+	some college	B	conservative	solid A	B
CA	male	black	18-29	high school graduate	B	conservative	solid A	A
CA	male	white	30-44	college graduate	other	moderate	solid A	B
CA	male	white	65+	college graduate	B	conservative	solid A	B
CA	male	other	45-64	college graduate	other	liberal	solid A	A
CA	female	other	45-64	college graduate	other	liberal	solid A	A
CA	female	white	45-64	some college	other	moderate	solid A	A
CA	male	white	45-64	college graduate	B	conservative	solid A	B
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	male	hispanic	18-29	some college	A	liberal	solid A	A
CA	male	black	30-44	college graduate	A	moderate	solid A	A
CA	male	white	30-44	some college	B	moderate	solid A	B
CA	female	white	18-29	college graduate	other	moderate	solid A	B
CA	female	white	45-64	college graduate	other	moderate	solid A	A
CA	female	black	18-29	some college	other	conservative	solid A	B
CA	female	hispanic	45-64	some college	other	conservative	solid A	A
CA	female	white	30-44	college graduate	B	conservative	solid A	B
CA	male	white	65+	college graduate	other	conservative	solid A	B
CA	female	other	30-44	college graduate	A	moderate	solid A	B
CA	male	white	45-64	some college	B	moderate	solid A	A
CA	female	white	45-64	college graduate	other	liberal	solid A	A
CA	female	black	45-64	college graduate	other	moderate	solid A	A
CA	male	white	30-44	college graduate	other	moderate	solid A	B
CA	male	white	65+	some college	B	conservative	solid A	B
CA	male	hispanic	65+	some college	B	conservative	solid A	B
CA	female	other	45-64	some college	other	liberal	solid A	A
CA	female	white	30-44	college graduate	B	conservative	solid A	B
CA	male	white	30-44	college graduate	B	moderate	solid A	A
CA	male	white	45-64	college graduate	other	conservative	solid A	B
CA	female	white	65+	some college	A	liberal	solid A	A
CA	female	white	45-64	some college	A	conservative	solid A	A
CA	male	white	30-44	college graduate	A	moderate	solid A	A
CA	female	black	18-29	high school graduate	other	liberal	solid A	A
CA	male	white	65+	some college	B	conservative	solid A	B
CA	female	white	30-44	some college	A	moderate	solid A	A
CA	female	white	65+	some college	A	moderate	solid A	A
CA	female	white	18-29	some college	A	liberal	solid A	A
CA	female	white	45-64	high school graduate	other	moderate	solid A	A
CA	male	black	45-64	high school graduate	A	conservative	solid A	A
CA	male	hispanic	18-29	some college	other	conservative	solid A	A
CA	female	white	30-44	college graduate	B	moderate	solid A	B
CA	female	other	18-29	some college	A	conservative	solid A	A
CA	male	white	30-44	college graduate	B	conservative	solid A	B
CA	female	white	18-29	some college	other	moderate	solid A	A
CA	male	white	30-44	college graduate	other	conservative	solid A	B
CA	female	hispanic	30-44	high school graduate	A	moderate	solid A	A
CA	male	white	45-64	college graduate	other	conservative	solid A	B
CA	male	white	30-44	college graduate	other	liberal	solid A	A
CA	male	other	45-64	some college	other	conservative	solid A	B
CA	female	white	30-44	some college	other	moderate	solid A	B
CA	female	white	30-44	college graduate	A	moderate	solid A	A
CA	female	white	45-64	college graduate	A	moderate	solid A	A
CA	female	white	30-44	college graduate	A	liberal	solid A	A
CA	female	white	45-64	college graduate	A	moderate	solid A	A
CA	male	white	45-64	college graduate	B	moderate	solid A	A
CA	female	white	30-44	college graduate	B	moderate	solid A	B
CA	female	white	45-64	didn't graduate from HS	A	moderate	solid A	A
CA	male	other	45-64	some college	A	moderate	solid A	A
CA	male	white	30-44	college graduate	A	liberal	solid A	A
CA	female	white	65+	college graduate	A	moderate	solid A	B
CA	female	white	30-44	college graduate	B	conservative	solid A	B
CA	male	other	18-29	some college	other	moderate	solid A	A
CA	female	other	45-64	college graduate	other	liberal	solid A	A
CA	female	white	65+	college graduate	A	liberal	solid A	A
CA	male	white	65+	college graduate	B	conservative	solid A	B
CA	female	white	30-44	college graduate	B	moderate	solid A	B
CA	male	white	30-44	college graduate	B	conservative	solid A	B
CA	male	white	45-64	high school graduate	other	moderate	solid A	B
CA	male	white	18-29	college graduate	B	conservative	solid A	B
CA	female	white	45-64	some college	B	conservative	solid A	B
CA	male	hispanic	18-29	high school graduate	A	moderate	solid A	A
CA	female	white	18-29	some college	other	moderate	solid A	B
CA	male	other	45-64	high school graduate	other	conservative	solid A	A
CA	female	hispanic	18-29	college graduate	A	moderate	solid A	A
CA	male	white	18-29	some college	other	moderate	solid A	A
CA	male	white	65+	college graduate	B	conservative	solid A	B
CA	female	hispanic	30-44	high school graduate	A	moderate	solid A	A
CA	female	hispanic	30-44	college graduate	B	moderate	solid A	B
CA	male	white	45-64	high school graduate	A	liberal	solid A	A
CA	female	white	65+	college graduate	B	conservative	solid A	B
CA	male	white	18-29	high school graduate	other	conservative	solid A	B
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	male	white	65+	some college	B	conservative	solid A	B
CA	male	black	45-64	some college	A	moderate	solid A	A
CA	female	hispanic	18-29	high school graduate	A	liberal	solid A	A
CA	female	hispanic	18-29	some college	A	liberal	solid A	A
CA	female	white	65+	college graduate	B	moderate	solid A	B
CA	female	white	30-44	some college	B	conservative	solid A	B
CA	male	white	65+	college graduate	B	conservative	solid A	B
CA	male	white	65+	didn't graduate from HS	other	conservative	solid A	A
CA	female	white	65+	college graduate	A	liberal	solid A	A
CA	male	other	30-44	college graduate	A	liberal	solid A	A
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	female	white	45-64	high school graduate	B	moderate	solid A	B
CA	male	white	45-64	college graduate	B	conservative	solid A	B
CA	male	white	45-64	some college	A	moderate	solid A	A
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	female	white	65+	college graduate	A	liberal	solid A	A
CA	female	hispanic	18-29	some college	A	liberal	solid A	A
CA	male	other	65+	college graduate	other	moderate	solid A	B
CA	female	white	65+	some college	other	moderate	solid A	A
CA	male	hispanic	18-29	some college	A	moderate	solid A	A
CA	female	white	30-44	college graduate	A	liberal	solid A	A
CA	female	white	45-64	college graduate	other	liberal	solid A	A
CA	female	white	30-44	high school graduate	B	moderate	solid A	B
CA	male	black	65+	some college	other	liberal	solid A	A
CA	male	hispanic	18-29	high school graduate	other	liberal	solid A	A
CA	male	white	18-29	some college	A	liberal	solid A	A
CA	male	white	30-44	college graduate	A	moderate	solid A	A
CA	male	white	30-44	college graduate	other	moderate	solid A	A
CA	female	other	18-29	some college	A	liberal	solid A	A
CA	female	white	30-44	college graduate	B	conservative	solid A	B
CA	male	other	30-44	college graduate	B	moderate	solid A	B
CA	male	white	65+	college graduate	other	moderate	solid A	A
CA	female	black	30-44	college graduate	A	liberal	solid A	A
CA	male	white	30-44	college graduate	A	moderate	solid A	A
CA	male	white	45-64	some college	A	moderate	solid A	A
CA	male	white	18-29	some college	B	conservative	solid A	B
CA	female	white	45-64	high school graduate	A	moderate	solid A	A
CA	female	hispanic	18-29	some college	A	liberal	solid A	A
CA	male	white	65+	high school graduate	B	moderate	solid A	B
CA	male	white	65+	some college	B	conservative	solid A	B
CA	male	hispanic	30-44	college graduate	B	conservative	solid A	B
CA	female	white	45-64	college graduate	A	liberal	solid A	A
CA	male	white	65+	college graduate	B	conservative	solid A	B
CA	female	black	45-64	some college	A	liberal	solid A	A
CA	male	white	30-44	some college	other	liberal	solid A	A
CA	female	hispanic	45-64	high school graduate	A	conservative	solid A	A
CA	female	hispanic	18-29	college graduate	other	conservative	solid A	A
CA	female	white	18-29	some college	other	liberal	solid A	A
CA	male	hispanic	18-29	college graduate	A	liberal	solid A	A
CA	male	hispanic	65+	college graduate	other	moderate	solid A	A
CA	male	white	30-44	college graduate	other	moderate	solid A	A
CA	male	white	18-29	college graduate	B	moderate	solid A	A
CA	female	white	65+	some college	B	moderate	solid A	B
CA	female	black	18-29	some college	A	moderate	solid A	A
CA	female	white	45-64	some college	A	liberal	solid A	A
CA	female	white	65+	college graduate	B	moderate	solid A	B
CA	male	white	45-64	college graduate	A	liberal	solid A	A
CA	female	black	30-44	high school graduate	A	moderate	solid A	A
CA	female	black	45-64	some college	A	liberal	solid A	A
CA	female	hispanic	18-29	some college	A	liberal	solid A	A
CA	male	hispanic	45-64	didn't graduate from HS	B	moderate	solid A	A
CA	male	white	30-44	college graduate	B	conservative	solid A	B
CA	female	hispanic	18-29	some college	other	moderate	solid A	A
