state	sex	race	age	education	ideology	vote
SD	female	hispanic	18-29	college graduate	moderate	A
TX	male	black	45-64	college graduate	moderate	A
LA	female	black	18-29	high school graduate	moderate	A
MI	male	white	18-29	high school graduate	liberal	A
SC	male	white	18-29	college graduate	moderate	B
DE	female	white	18-29	college graduate	liberal	A
NY	female	hispanic	65+	high school graduate	liberal	A
RI	female	white	30-44	college graduate	moderate	A
GA	male	black	18-29	high school graduate	moderate	A
MI	female	white	45-64	high school graduate	moderate	A
CA	male	hispanic	18-29	some college	conservative	other
CA	male	white	65+	college graduate	moderate	A
NY	male	white	30-44	some college	moderate	A
MA	male	white	45-64	some college	conservative	B
NY	female	white	45-64	college graduate	liberal	A
CA	male	white	65+	college graduate	moderate	B
CA	female	white	45-64	college graduate	liberal	B
TX	male	other	65+	college graduate	conservative	B
GA	female	white	65+	didn't graduate from HS	conservative	A
CA	female	white	65+	college graduate	moderate	B
CO	female	white	30-44	college graduate	conservative	B
NC	male	white	18-29	college graduate	moderate	A
IN	male	hispanic	30-44	high school graduate	conservative	A
CA	male	white	30-44	college graduate	moderate	B
OH	male	white	45-64	college graduate	conservative	B
OH	male	white	45-64	college graduate	conservative	B
TX	male	hispanic	30-44	some college	moderate	A
GA	male	white	45-64	college graduate	liberal	A
WA	male	white	65+	some college	conservative	B
TX	female	white	30-44	some college	conservative	B
NY	male	white	18-29	didn't graduate from HS	liberal	A
IA	male	white	30-44	college graduate	conservative	B
GA	female	white	45-64	college graduate	moderate	B
NJ	female	white	18-29	college graduate	liberal	A
CA	female	black	18-29	some college	moderate	A
MI	male	white	18-29	didn't graduate from HS	moderate	A
MT	female	other	18-29	some college	moderate	A
MT	male	white	30-44	college graduate	moderate	A
DE	male	white	30-44	some college	moderate	A
PA	female	white	65+	college graduate	moderate	A
NC	female	black	30-44	college graduate	liberal	A
CA	female	white	30-44	college graduate	moderate	A
CA	female	other	45-64	college graduate	liberal	A
VA	male	black	45-64	some college	moderate	A
NY	female	white	65+	college graduate	moderate	A
IN	male	black	65+	high school graduate	moderate	A
IN	female	white	65+	high school graduate	conservative	B
SC	female	white	65+	college graduate	moderate	A
NY	male	white	45-64	college graduate	liberal	A
WI	male	white	30-44	college graduate	liberal	A
TX	male	white	30-44	college graduate	conservative	B
CA	female	white	30-44	college graduate	moderate	A
MI	female	white	65+	high school graduate	conservative	B
CA	male	hispanic	18-29	high school graduate	liberal	A
WI	female	white	45-64	some college	moderate	B
OH	male	white	30-44	some college	conservative	B
CA	male	white	30-44	college graduate	moderate	A
OR	female	white	18-29	some college	liberal	A
WI	male	white	45-64	college graduate	liberal	A
IL	male	hispanic	18-29	some college	moderate	B
PA	female	white	65+	high school graduate	moderate	A
FL	female	hispanic	65+	high school graduate	conservative	A
TX	female	white	45-64	some college	conservative	B
PA	female	white	30-44	some college	moderate	B
CA	male	white	65+	college graduate	conservative	B
LA	male	white	30-44	college graduate	conservative	B
OH	female	white	45-64	some college	moderate	B
AR	female	black	18-29	college graduate	liberal	A
CA	female	hispanic	30-44	some college	moderate	B
NY	male	white	45-64	college graduate	conservative	B
CA	male	white	65+	some college	conservative	B
MI	male	white	18-29	college graduate	moderate	A
CA	female	white	45-64	college graduate	moderate	A
MS	female	white	45-64	some college	conservative	B
NJ	male	white	30-44	college graduate	moderate	A
OH	male	white	65+	college graduate	liberal	A
CA	female	other	30-44	college graduate	conservative	B
AR	male	white	45-64	college graduate	moderate	B
FL	male	black	65+	high school graduate	moderate	A
PA	male	white	18-29	high school graduate	conservative	A
MN	male	white	45-64	some college	liberal	A
CA	male	white	65+	college graduate	conservative	B
MS	female	white	30-44	college graduate	moderate	A
CA	female	white	45-64	some college	moderate	B
VA	male	white	30-44	college graduate	conservative	B
CA	female	white	45-64	high school graduate	moderate	A
OR	male	white	45-64	college graduate	conservative	B
RI	male	white	18-29	college graduate	moderate	B
IL	female	white	18-29	college graduate	moderate	A
MI	male	white	65+	some college	moderate	A
NH	female	white	18-29	high school graduate	liberal	A
OH	male	white	45-64	college graduate	moderate	B
NC	female	black	30-44	college graduate	moderate	A
RI	male	white	45-64	college graduate	liberal	A
WI	female	white	65+	high school graduate	conservative	B
GA	female	white	45-64	college graduate	liberal	A
MI	female	white	45-64	college graduate	conservative	B
GA	female	white	18-29	some college	liberal	A
PA	female	hispanic	30-44	college graduate	conservative	B
NY	female	hispanic	30-44	some college	moderate	A
FL	female	white	45-64	college graduate	moderate	A
WA	male	other	45-64	college graduate	conservative	B
MO	male	white	45-64	high school graduate	moderate	B
MO	female	black	45-64	didn't graduate from HS	conservative	other
GA	male	white	30-44	high school graduate	conservative	B
FL	female	black	18-29	college graduate	conservative	A
IL	female	white	45-64	some college	conservative	B
IL	male	white	45-64	college graduate	liberal	A
IN	male	white	45-64	high school graduate	liberal	A
NY	male	white	45-64	college graduate	liberal	A
ID	female	white	45-64	college graduate	moderate	B
MT	female	white	45-64	some college	moderate	A
TX	male	black	45-64	college graduate	liberal	A
OH	female	white	18-29	some college	liberal	A
MO	male	white	30-44	some college	conservative	B
CT	female	white	18-29	college graduate	liberal	A
MO	male	white	45-64	college graduate	conservative	B
TN	female	white	45-64	high school graduate	conservative	B
CA	male	white	45-64	high school graduate	moderate	B
NY	male	white	45-64	some college	liberal	A
MT	male	white	18-29	high school graduate	conservative	B
OK	male	white	45-64	college graduate	moderate	B
CA	male	white	30-44	college graduate	moderate	other
TN	male	other	45-64	college graduate	conservative	B
FL	female	white	45-64	some college	moderate	A
VA	male	white	18-29	high school graduate	liberal	A
MA	female	white	30-44	college graduate	conservative	B
FL	female	hispanic	45-64	college graduate	moderate	B
IL	male	white	45-64	high school graduate	moderate	A
IL	female	white	65+	high school graduate	moderate	B
NC	male	white	45-64	college graduate	liberal	A
NJ	male	black	45-64	college graduate	moderate	A
WI	female	white	45-64	some college	conservative	B
MI	female	white	30-44	some college	conservative	B
CA	male	white	30-44	some college	moderate	A
KY	male	white	65+	didn't graduate from HS	conservative	B
UT	male	white	65+	college graduate	liberal	A
TX	female	white	45-64	some college	moderate	A
CA	female	white	65+	some college	liberal	A
MD	female	black	18-29	some college	moderate	A
NJ	female	white	30-44	college graduate	moderate	A
NC	male	white	30-44	college graduate	conservative	B
NY	female	black	18-29	high school graduate	moderate	A
TX	male	white	45-64	high school graduate	liberal	A
CT	female	white	30-44	some college	moderate	B
IL	female	white	30-44	college graduate	conservative	B
CA	female	other	18-29	some college	moderate	A
MD	male	black	45-64	some college	liberal	A
MA	female	white	30-44	college graduate	moderate	A
TX	female	hispanic	18-29	college graduate	conservative	A
OH	male	white	45-64	high school graduate	moderate	A
TX	female	black	45-64	college graduate	liberal	A
OR	female	white	18-29	high school graduate	liberal	A
AZ	female	white	65+	some college	conservative	B
NY	female	white	30-44	college graduate	liberal	A
IL	male	white	65+	some college	moderate	B
CA	male	white	45-64	college graduate	liberal	A
GA	male	white	30-44	some college	conservative	B
MD	female	white	18-29	high school graduate	liberal	A
IL	male	hispanic	45-64	college graduate	conservative	B
TN	female	white	45-64	college graduate	moderate	B
CA	female	white	65+	some college	moderate	B
CA	female	hispanic	45-64	college graduate	moderate	A
NY	female	other	45-64	college graduate	moderate	A
FL	male	hispanic	18-29	some college	moderate	A
IL	female	black	30-44	college graduate	moderate	A
IN	female	white	45-64	high school graduate	conservative	B
PA	female	white	18-29	some college	liberal	A
PA	male	other	45-64	college graduate	moderate	A
TX	female	white	45-64	high school graduate	moderate	B
OH	female	white	18-29	some college	moderate	B
TX	female	white	45-64	some college	moderate	B
NC	male	white	18-29	high school graduate	moderate	A
WA	male	white	65+	high school graduate	moderate	A
WI	male	black	30-44	some college	liberal	A
MO	female	black	45-64	some college	liberal	A
TX	female	white	65+	high school graduate	conservative	B
MA	male	white	30-44	some college	moderate	B
CA	female	hispanic	18-29	some college	liberal	A
IL	male	white	30-44	college graduate	liberal	A
NC	male	white	65+	some college	conservative	B
CA	male	white	65+	college graduate	moderate	A
FL	male	white	45-64	high school graduate	liberal	A
IL	male	hispanic	18-29	college graduate	moderate	A
MI	female	white	65+	high school graduate	moderate	B
WV	male	white	45-64	some college	liberal	B
TX	male	white	45-64	didn't graduate from HS	liberal	B
VT	female	white	65+	some college	liberal	A
NH	female	white	45-64	college graduate	moderate	A
CO	female	white	30-44	some college	moderate	B
MO	female	other	18-29	some college	liberal	A
WA	female	white	18-29	high school graduate	moderate	other
NY	female	white	30-44	some college	conservative	B
MO	female	white	45-64	high school graduate	conservative	B
CA	female	white	65+	high school graduate	moderate	B
TN	male	white	18-29	high school graduate	conservative	B
CO	male	white	45-64	college graduate	conservative	B
NM	female	white	45-64	college graduate	liberal	A
WV	male	white	65+	some college	moderate	A
MA	female	white	65+	high school graduate	moderate	A
CA	male	white	65+	high school graduate	moderate	A
VA	female	white	45-64	college graduate	conservative	B
NJ	female	white	30-44	college graduate	conservative	B
IN	female	white	30-44	some college	conservative	B
CA	male	white	65+	college graduate	conservative	B
MS	male	black	18-29	high school graduate	moderate	A
IA	female	white	45-64	college graduate	moderate	B
NY	female	white	30-44	college graduate	moderate	A
MN	male	white	30-44	college graduate	moderate	A
FL	female	white	30-44	some college	moderate	B
AK	male	white	45-64	college graduate	conservative	A
SC	female	black	45-64	some college	moderate	A
OH	male	white	18-29	some college	conservative	other
NY	female	white	45-64	some college	conservative	B
CA	male	white	45-64	high school graduate	conservative	B
CO	male	white	30-44	college graduate	conservative	B
MD	male	black	45-64	didn't graduate from HS	moderate	A
MA	male	white	45-64	college graduate	moderate	B
MN	male	other	30-44	some college	conservative	B
TN	male	white	30-44	college graduate	conservative	B
IL	female	white	30-44	college graduate	moderate	B
MO	male	white	18-29	college graduate	conservative	B
OH	female	white	18-29	college graduate	conservative	B
TN	male	white	45-64	didn't graduate from HS	moderate	B
NE	female	white	65+	some college	liberal	A
GA	female	white	45-64	didn't graduate from HS	moderate	B
NY	male	black	18-29	college graduate	moderate	A
IL	female	white	65+	high school graduate	moderate	A
TN	male	white	30-44	college graduate	moderate	A
LA	male	black	65+	college graduate	moderate	A
TX	female	white	30-44	college graduate	conservative	B
NC	male	white	30-44	college graduate	conservative	B
WI	male	hispanic	18-29	some college	moderate	B
CA	male	black	30-44	college graduate	moderate	A
DE	female	white	18-29	college graduate	liberal	A
KS	female	white	65+	college graduate	liberal	A
NM	male	other	45-64	some college	liberal	A
CA	female	black	30-44	high school graduate	conservative	A
OH	male	white	65+	some college	moderate	A
OH	male	white	30-44	some college	moderate	B
TX	female	white	45-64	some college	moderate	A
OR	male	white	45-64	college graduate	liberal	A
NM	male	other	45-64	college graduate	liberal	A
NH	female	white	45-64	college graduate	moderate	A
UT	female	white	30-44	college graduate	liberal	A
NY	female	black	18-29	didn't graduate from HS	moderate	A
CO	female	hispanic	45-64	some college	moderate	A
WV	male	white	30-44	college graduate	moderate	other
AZ	male	white	18-29	high school graduate	moderate	B
GA	female	white	30-44	some college	conservative	A
CA	male	white	45-64	college graduate	conservative	B
CA	male	white	45-64	some college	conservative	B
IL	male	white	45-64	college graduate	liberal	A
CT	female	white	45-64	some college	moderate	A
ID	female	white	30-44	college graduate	conservative	B
LA	male	white	30-44	some college	conservative	B
MI	male	white	45-64	college graduate	moderate	A
ID	female	white	18-29	some college	moderate	A
TX	female	white	65+	high school graduate	conservative	B
MI	female	white	18-29	college graduate	liberal	B
KY	female	white	30-44	college graduate	moderate	B
CA	female	white	45-64	college graduate	moderate	B
SC	male	black	18-29	college graduate	moderate	A
MS	male	white	45-64	college graduate	conservative	B
NM	female	hispanic	45-64	high school graduate	liberal	A
CA	female	white	45-64	some college	liberal	A
NY	female	white	30-44	college graduate	conservative	B
NY	female	white	45-64	college graduate	moderate	A
NC	male	white	45-64	high school graduate	liberal	B
MD	female	white	45-64	college graduate	moderate	B
PA	female	white	65+	high school graduate	liberal	A
GA	female	white	45-64	didn't graduate from HS	conservative	B
TN	female	white	45-64	college graduate	moderate	A
WA	male	white	30-44	college graduate	moderate	other
CA	male	white	65+	college graduate	moderate	A
MN	male	white	45-64	some college	conservative	B
MN	female	white	65+	high school graduate	liberal	A
UT	male	white	45-64	some college	moderate	B
IA	male	white	45-64	some college	conservative	B
AL	female	white	65+	high school graduate	conservative	B
IL	female	white	45-64	high school graduate	moderate	B
CA	male	white	45-64	some college	liberal	A
AK	female	black	65+	college graduate	moderate	B
IL	female	black	18-29	some college	liberal	A
NC	male	white	45-64	some college	moderate	A
CA	female	white	30-44	some college	conservative	B
MN	female	white	45-64	college graduate	conservative	B
NY	male	black	45-64	some college	liberal	A
UT	female	white	45-64	college graduate	liberal	A
CA	female	white	45-64	college graduate	liberal	A
IL	male	white	18-29	college graduate	liberal	A
WI	female	white	30-44	college graduate	liberal	A
MA	male	white	30-44	some college	liberal	A
MN	male	white	30-44	some college	liberal	A
PA	female	black	45-64	didn't graduate from HS	moderate	A
CA	male	white	18-29	some college	moderate	B
NJ	male	white	45-64	college graduate	moderate	B
NC	female	white	30-44	college graduate	liberal	B
SD	male	white	18-29	high school graduate	liberal	A
OH	female	white	30-44	college graduate	liberal	A
OH	female	hispanic	30-44	high school graduate	moderate	B
TX	female	white	45-64	college graduate	conservative	B
NH	male	white	45-64	college graduate	moderate	A
TX	male	white	65+	college graduate	conservative	B
PA	female	white	65+	college graduate	liberal	A
CA	male	white	65+	college graduate	liberal	A
PA	male	white	18-29	some college	liberal	B
CA	male	hispanic	30-44	college graduate	moderate	A
CO	male	white	65+	college graduate	moderate	B
FL	female	hispanic	30-44	some college	conservative	B
FL	female	other	65+	college graduate	liberal	other
PA	male	white	65+	some college	moderate	B
IL	male	white	45-64	college graduate	moderate	B
NY	male	white	45-64	college graduate	conservative	B
VA	female	black	18-29	some college	moderate	A
OH	female	white	30-44	college graduate	moderate	B
NC	male	white	45-64	college graduate	moderate	A
GA	male	white	45-64	some college	moderate	B
KY	male	white	45-64	some college	conservative	B
TX	male	hispanic	65+	high school graduate	conservative	B
IN	female	white	45-64	college graduate	moderate	A
TN	female	white	65+	some college	moderate	A
OH	female	white	30-44	some college	conservative	A
TX	female	hispanic	18-29	college graduate	liberal	A
TX	female	white	30-44	some college	moderate	A
KY	female	white	45-64	some college	moderate	B
TX	male	white	65+	college graduate	moderate	B
TN	male	black	30-44	college graduate	conservative	A
CA	male	white	45-64	college graduate	conservative	A
WI	female	white	30-44	college graduate	conservative	B
IA	male	white	30-44	some college	moderate	A
NC	male	white	30-44	high school graduate	conservative	B
NY	male	white	30-44	college graduate	liberal	A
MD	male	black	45-64	college graduate	conservative	A
TX	female	white	45-64	some college	liberal	B
PA	male	black	45-64	didn't graduate from HS	moderate	A
MN	male	white	45-64	college graduate	moderate	B
IL	male	black	18-29	some college	liberal	A
CA	male	white	45-64	high school graduate	moderate	B
IN	male	white	65+	high school graduate	liberal	B
MS	female	white	65+	college graduate	conservative	B
GA	female	white	45-64	college graduate	moderate	A
PA	female	white	65+	high school graduate	conservative	B
MA	male	black	18-29	college graduate	moderate	A
PA	male	white	65+	college graduate	conservative	B
CA	male	white	45-64	some college	moderate	A
NC	male	black	18-29	high school graduate	moderate	A
VA	female	white	30-44	college graduate	conservative	B
NJ	female	white	30-44	some college	liberal	A
NY	female	other	30-44	high school graduate	liberal	B
NJ	female	white	18-29	some college	liberal	A
MD	female	white	45-64	college graduate	liberal	A
SC	female	black	30-44	college graduate	conservative	other
NC	female	white	30-44	high school graduate	liberal	A
AK	female	white	30-44	some college	conservative	B
FL	female	white	65+	high school graduate	moderate	B
GA	female	black	30-44	high school graduate	moderate	A
MD	female	black	18-29	didn't graduate from HS	liberal	A
WI	female	black	30-44	college graduate	moderate	A
MI	female	white	65+	high school graduate	moderate	A
NJ	female	white	30-44	some college	conservative	B
TX	female	hispanic	18-29	some college	moderate	A
NY	male	white	18-29	some college	moderate	other
GA	female	black	18-29	didn't graduate from HS	liberal	A
KS	male	white	30-44	college graduate	moderate	A
IA	male	white	45-64	some college	moderate	A
NC	male	white	65+	didn't graduate from HS	conservative	B
TX	female	white	45-64	college graduate	conservative	B
VA	male	black	30-44	college graduate	moderate	A
FL	female	white	45-64	some college	liberal	A
OR	male	white	65+	college graduate	moderate	A
NC	female	white	45-64	high school graduate	conservative	A
FL	female	white	30-44	college graduate	conservative	B
LA	female	black	45-64	college graduate	conservative	A
MN	female	white	30-44	college graduate	moderate	A
CA	female	white	30-44	college graduate	conservative	B
MD	male	white	45-64	college graduate	conservative	B
SD	female	other	30-44	some college	liberal	A
MI	female	white	65+	college graduate	moderate	B
TN	male	white	45-64	didn't graduate from HS	conservative	B
WI	female	white	18-29	high school graduate	moderate	A
TX	female	black	45-64	college graduate	moderate	A
PA	female	black	65+	high school graduate	conservative	A
CA	female	white	45-64	college graduate	moderate	A
PA	female	white	45-64	college graduate	liberal	A
CA	male	white	45-64	some college	liberal	A
OH	female	white	30-44	some college	moderate	A
MD	female	hispanic	45-64	some college	conservative	B
OK	female	white	30-44	some college	moderate	A
MO	male	white	65+	some college	conservative	B
MI	female	white	18-29	college graduate	conservative	B
