state	sex	race	age	education	ideology	vote
OH	female	white	45-64	some college	conservative	B
GA	male	white	65+	high school graduate	conservative	B
NJ	male	white	30-44	high school graduate	conservative	B
CA	female	hispanic	30-44	some college	liberal	A
NJ	female	white	30-44	college graduate	conservative	B
TX	male	white	18-29	some college	conservative	B
MO	female	white	45-64	college graduate	conservative	B
MO	male	white	18-29	didn't graduate from HS	conservative	B
CA	male	white	45-64	some college	moderate	B
KS	male	white	45-64	some college	conservative	B
NY	female	black	65+	high school graduate	liberal	A
CA	male	white	65+	some college	moderate	A
MN	male	white	30-44	college graduate	moderate	A
AR	female	white	45-64	some college	conservative	B
MO	male	white	30-44	high school graduate	conservative	B
CA	female	white	30-44	some college	conservative	B
IN	male	white	45-64	some college	moderate	B
CA	male	white	18-29	didn't graduate from HS	moderate	A
MO	male	white	30-44	some college	conservative	B
ID	male	white	45-64	college graduate	conservative	B
NM	male	hispanic	65+	high school graduate	conservative	B
WV	male	white	45-64	high school graduate	moderate	A
TN	male	white	65+	college graduate	conservative	B
WI	female	white	18-29	high school graduate	conservative	B
MO	male	white	45-64	college graduate	liberal	A
CA	female	hispanic	45-64	high school graduate	moderate	A
NJ	male	black	30-44	college graduate	moderate	A
DE	female	white	45-64	some college	moderate	A
FL	male	hispanic	30-44	college graduate	conservative	B
MI	female	white	30-44	some college	liberal	A
FL	male	white	65+	college graduate	moderate	B
CA	female	hispanic	45-64	some college	moderate	A
NC	female	black	45-64	high school graduate	conservative	A
IL	female	white	45-64	some college	moderate	A
WA	female	white	18-29	college graduate	moderate	B
CA	female	white	18-29	high school graduate	liberal	B
CA	male	white	45-64	some college	conservative	B
NY	male	white	45-64	college graduate	moderate	B
CA	female	white	45-64	high school graduate	moderate	A
NJ	male	hispanic	45-64	didn't graduate from HS	moderate	A
FL	female	white	18-29	some college	moderate	A
IL	female	white	45-64	some college	moderate	A
TX	male	white	45-64	high school graduate	moderate	B
MO	male	white	45-64	high school graduate	moderate	B
KS	male	white	45-64	college graduate	conservative	B
PA	male	white	18-29	some college	moderate	B
NC	female	white	45-64	college graduate	liberal	A
IA	female	white	30-44	college graduate	moderate	A
TX	female	black	18-29	high school graduate	moderate	A
KS	male	black	45-64	some college	liberal	B
NY	male	white	45-64	high school graduate	moderate	A
IL	male	white	30-44	college graduate	moderate	B
WV	female	white	45-64	college graduate	conservative	B
TX	female	black	18-29	college graduate	conservative	A
FL	female	hispanic	18-29	college graduate	moderate	B
WA	male	white	30-44	college graduate	moderate	B
GA	male	white	18-29	high school graduate	conservative	B
OK	male	white	18-29	some college	conservative	B
CA	female	white	65+	college graduate	moderate	A
ID	female	hispanic	30-44	some college	conservative	B
FL	female	white	45-64	college graduate	liberal	A
TX	female	white	45-64	some college	moderate	A
MA	male	white	45-64	some college	moderate	B
NY	female	hispanic	65+	high school graduate	liberal	A
AL	female	white	45-64	high school graduate	conservative	B
LA	female	white	30-44	high school graduate	conservative	B
IL	female	black	30-44	didn't graduate from HS	moderate	A
TX	male	white	65+	college graduate	conservative	B
IL	male	white	45-64	college graduate	conservative	B
PA	male	white	30-44	some college	moderate	B
MO	female	white	30-44	college graduate	conservative	B
CA	female	other	45-64	some college	moderate	A
CO	male	white	65+	high school graduate	moderate	B
AZ	female	hispanic	18-29	some college	moderate	B
TX	male	white	45-64	college graduate	conservative	B
CO	male	white	65+	college graduate	conservative	B
TX	female	white	45-64	college graduate	conservative	B
IL	female	hispanic	45-64	some college	moderate	A
TX	female	white	18-29	some college	moderate	A
IN	female	white	30-44	some college	liberal	A
FL	male	white	45-64	college graduate	conservative	B
CA	male	white	45-64	high school graduate	moderate	B
IN	male	black	30-44	some college	liberal	A
CA	male	white	45-64	some college	conservative	B
TX	male	hispanic	65+	didn't graduate from HS	moderate	A
OH	male	white	45-64	some college	moderate	B
CA	male	white	30-44	college graduate	moderate	B
NC	female	white	45-64	high school graduate	conservative	A
WI	female	white	30-44	some college	conservative	B
WA	male	black	30-44	college graduate	liberal	A
TX	male	white	30-44	high school graduate	conservative	B
MI	male	white	65+	high school graduate	conservative	A
TN	female	white	18-29	some college	liberal	A
CA	female	white	18-29	some college	moderate	A
IL	female	black	30-44	some college	conservative	A
CA	male	hispanic	18-29	college graduate	moderate	B
MD	female	white	30-44	some college	liberal	A
CA	male	hispanic	30-44	high school graduate	moderate	A
FL	female	black	18-29	some college	conservative	A
MI	female	white	18-29	some college	moderate	B
VA	male	white	30-44	college graduate	conservative	B
CA	female	other	18-29	some college	liberal	A
IN	male	white	30-44	college graduate	conservative	B
UT	female	white	45-64	some college	liberal	B
AL	female	black	30-44	college graduate	liberal	A
CA	female	other	30-44	some college	liberal	A
WI	male	white	18-29	some college	moderate	A
CT	female	white	45-64	some college	conservative	B
MA	male	white	18-29	college graduate	liberal	B
OH	male	white	45-64	college graduate	conservative	B
IA	male	white	30-44	college graduate	conservative	B
IL	male	hispanic	45-64	college graduate	conservative	B
WI	female	white	30-44	college graduate	conservative	B
IL	female	hispanic	30-44	college graduate	liberal	B
WA	female	white	65+	high school graduate	moderate	A
NC	female	black	30-44	some college	moderate	A
UT	male	white	18-29	some college	liberal	A
CA	male	white	65+	college graduate	moderate	A
OK	male	white	65+	college graduate	conservative	B
OH	female	white	18-29	high school graduate	liberal	B
NC	male	hispanic	45-64	college graduate	moderate	A
KY	female	white	30-44	college graduate	conservative	B
MO	female	black	65+	college graduate	moderate	A
LA	male	white	30-44	high school graduate	moderate	A
MS	female	white	30-44	college graduate	moderate	A
GA	female	black	18-29	some college	moderate	A
OH	female	white	18-29	college graduate	liberal	A
KS	female	white	30-44	college graduate	moderate	A
PA	female	white	18-29	some college	liberal	A
TN	female	white	18-29	didn't graduate from HS	moderate	B
IL	male	white	30-44	some college	moderate	B
AZ	female	white	30-44	college graduate	moderate	B
NH	male	white	45-64	college graduate	moderate	A
CA	male	black	45-64	some college	moderate	A
NE	female	white	30-44	college graduate	moderate	A
IA	male	white	30-44	college graduate	moderate	A
GA	male	white	45-64	high school graduate	moderate	B
MN	female	white	45-64	high school graduate	moderate	B
CA	female	white	30-44	some college	moderate	B
MA	female	white	18-29	college graduate	moderate	A
TX	male	other	65+	college graduate	conservative	B
TX	female	white	30-44	high school graduate	liberal	A
FL	female	white	65+	college graduate	moderate	B
WA	male	white	45-64	some college	moderate	A
CA	male	white	45-64	some college	conservative	B
NY	female	white	18-29	college graduate	moderate	B
FL	male	hispanic	30-44	some college	conservative	A
CA	male	white	18-29	college graduate	liberal	A
OH	female	white	30-44	college graduate	conservative	B
MD	female	black	45-64	some college	conservative	A
CA	female	white	45-64	some college	moderate	A
IN	female	white	30-44	college graduate	moderate	B
MA	female	white	45-64	college graduate	liberal	A
TN	female	white	30-44	college graduate	moderate	B
VA	female	white	65+	high school graduate	conservative	B
ME	female	white	65+	didn't graduate from HS	conservative	A
VA	female	black	18-29	some college	moderate	A
PA	male	white	30-44	some college	conservative	B
CA	male	white	65+	some college	conservative	B
UT	female	white	18-29	college graduate	conservative	B
WI	female	white	18-29	some college	liberal	A
LA	female	black	18-29	high school graduate	conservative	A
TX	male	white	45-64	high school graduate	conservative	B
AL	male	white	18-29	college graduate	conservative	B
MO	female	white	65+	college graduate	moderate	A
PA	male	white	45-64	college graduate	liberal	B
VA	female	black	45-64	college graduate	moderate	A
NC	female	white	45-64	some college	moderate	A
CO	male	white	45-64	college graduate	conservative	B
CT	male	white	45-64	high school graduate	conservative	A
TN	female	white	45-64	college graduate	moderate	B
PA	female	white	18-29	some college	conservative	B
NC	male	white	45-64	some college	conservative	B
IL	female	white	18-29	college graduate	liberal	A
KS	male	white	45-64	college graduate	moderate	A
FL	female	white	18-29	some college	moderate	A
CA	male	white	65+	college graduate	moderate	B
CA	female	black	45-64	college graduate	moderate	A
FL	male	black	18-29	some college	moderate	A
VA	male	white	45-64	college graduate	moderate	B
FL	male	white	30-44	college graduate	conservative	B
NH	male	white	45-64	college graduate	liberal	A
MI	male	white	45-64	some college	moderate	B
GA	female	black	45-64	high school graduate	moderate	A
MI	male	white	30-44	some college	moderate	A
CA	female	hispanic	45-64	college graduate	conservative	B
VA	male	white	45-64	college graduate	liberal	A
OH	female	white	30-44	some college	moderate	A
NC	male	white	30-44	college graduate	conservative	B
AZ	female	hispanic	30-44	some college	moderate	B
LA	female	black	30-44	some college	moderate	A
UT	male	white	30-44	some college	moderate	A
IL	female	white	45-64	high school graduate	conservative	B
IA	male	white	18-29	some college	moderate	B
LA	male	black	18-29	some college	moderate	A
UT	male	white	30-44	college graduate	moderate	A
IL	male	white	18-29	college graduate	liberal	A
FL	male	white	65+	college graduate	conservative	B
VA	male	white	30-44	high school graduate	moderate	A
MD	female	white	45-64	college graduate	moderate	B
UT	female	white	18-29	some college	conservative	B
CA	male	white	45-64	college graduate	liberal	A
ME	female	white	65+	didn't graduate from HS	conservative	A
IL	female	white	30-44	college graduate	liberal	A
GA	female	black	45-64	college graduate	liberal	A
CA	male	white	30-44	some college	conservative	B
CA	female	black	18-29	high school graduate	moderate	B
ME	female	white	65+	high school graduate	liberal	A
TX	male	hispanic	65+	some college	conservative	A
WI	female	white	45-64	some college	moderate	B
CA	male	hispanic	65+	college graduate	moderate	A
FL	male	white	45-64	high school graduate	conservative	B
PA	male	white	30-44	high school graduate	moderate	B
KY	female	white	30-44	college graduate	moderate	B
CA	female	white	65+	high school graduate	conservative	B
SC	male	black	45-64	high school graduate	moderate	A
MD	female	white	30-44	college graduate	moderate	B
NJ	female	white	18-29	some college	liberal	B
KY	male	white	45-64	college graduate	moderate	B
MI	female	white	30-44	high school graduate	liberal	B
OH	female	white	65+	high school graduate	conservative	A
CA	male	white	65+	college graduate	conservative	B
MD	female	white	30-44	some college	moderate	A
MD	female	white	45-64	high school graduate	moderate	A
PA	female	black	65+	high school graduate	conservative	A
CA	male	black	18-29	high school graduate	liberal	A
VA	female	white	30-44	college graduate	conservative	B
MI	male	white	65+	high school graduate	conservative	B
WI	female	white	45-64	college graduate	liberal	A
MA	male	hispanic	30-44	some college	conservative	B
KY	male	white	30-44	some college	conservative	B
MI	female	white	18-29	college graduate	moderate	B
CO	male	white	65+	college graduate	moderate	A
NY	male	white	18-29	some college	moderate	A
NY	female	white	45-64	college graduate	conservative	A
TX	female	white	65+	didn't graduate from HS	conservative	B
MN	female	white	45-64	college graduate	moderate	A
MO	female	black	45-64	college graduate	moderate	A
GA	female	hispanic	30-44	some college	liberal	A
OK	male	white	45-64	high school graduate	moderate	A
IL	female	white	18-29	college graduate	conservative	B
KY	female	white	18-29	didn't graduate from HS	conservative	B
ME	female	white	45-64	high school graduate	conservative	B
OR	female	white	45-64	college graduate	moderate	B
NJ	male	black	65+	college graduate	liberal	A
MD	female	hispanic	18-29	high school graduate	moderate	B
MD	female	hispanic	18-29	high school graduate	moderate	B
AL	male	black	30-44	high school graduate	liberal	A
NY	male	white	30-44	college graduate	conservative	B
CT	male	white	18-29	college graduate	conservative	B
IL	female	white	65+	college graduate	moderate	B
NY	female	white	45-64	college graduate	moderate	B
AR	male	white	18-29	some college	conservative	B
OH	female	white	65+	high school graduate	conservative	B
WA	male	white	30-44	college graduate	liberal	A
TX	female	white	65+	some college	moderate	B
MD	female	white	30-44	some college	moderate	A
IL	male	white	18-29	college graduate	moderate	B
NJ	male	white	30-44	college graduate	moderate	B
OH	female	white	30-44	college graduate	liberal	A
OH	male	white	45-64	college graduate	conservative	B
MD	female	white	45-64	high school graduate	conservative	A
WI	female	white	30-44	high school graduate	conservative	B
OK	male	white	45-64	college graduate	moderate	B
IL	female	white	45-64	some college	conservative	B
RI	female	white	18-29	college graduate	moderate	B
TN	male	white	30-44	college graduate	liberal	A
CT	female	white	18-29	some college	liberal	A
CA	female	black	65+	some college	moderate	A
IL	female	white	18-29	college graduate	liberal	A
MO	female	hispanic	18-29	college graduate	moderate	A
NC	male	white	45-64	some college	moderate	A
OR	female	white	45-64	college graduate	liberal	A
IL	female	white	18-29	some college	moderate	A
TX	female	hispanic	18-29	college graduate	liberal	A
MO	male	black	45-64	didn't graduate from HS	liberal	A
TN	female	white	45-64	college graduate	moderate	A
CT	male	white	30-44	high school graduate	conservative	A
MI	female	white	18-29	some college	moderate	A
MS	male	white	45-64	college graduate	conservative	B
TX	female	white	45-64	some college	moderate	A
TX	female	white	30-44	college graduate	moderate	B
TX	female	white	45-64	college graduate	moderate	B
PA	female	other	30-44	college graduate	moderate	A
IL	female	white	45-64	some college	moderate	B
WV	female	white	45-64	some college	conservative	B
FL	male	white	45-64	college graduate	moderate	A
NJ	female	white	45-64	college graduate	moderate	B
TX	male	white	65+	didn't graduate from HS	moderate	A
CA	male	other	45-64	some college	conservative	A
TN	female	white	65+	college graduate	moderate	B
MI	male	white	45-64	high school graduate	moderate	A
OK	female	white	30-44	high school graduate	moderate	B
MA	male	white	45-64	some college	liberal	A
MO	female	black	18-29	college graduate	liberal	A
IL	female	white	45-64	some college	moderate	A
NJ	male	white	30-44	college graduate	conservative	B
NJ	female	white	18-29	some college	liberal	B
NJ	male	white	30-44	some college	conservative	B
TN	female	white	30-44	high school graduate	conservative	B
NY	female	white	18-29	high school graduate	moderate	A
PA	female	white	30-44	college graduate	conservative	B
AL	female	black	30-44	college graduate	liberal	A
NY	male	black	45-64	high school graduate	moderate	A
PA	male	white	45-64	college graduate	moderate	B
FL	female	white	30-44	some college	moderate	B
CA	male	white	30-44	some college	conservative	B
PA	female	white	18-29	high school graduate	conservative	A
PA	male	white	45-64	college graduate	liberal	A
MO	male	white	18-29	high school graduate	moderate	A
MO	female	hispanic	45-64	college graduate	liberal	A
NY	male	other	65+	college graduate	moderate	A
MN	male	white	30-44	college graduate	conservative	B
NY	female	white	65+	high school graduate	liberal	A
LA	female	white	45-64	high school graduate	conservative	B
NE	female	white	65+	college graduate	moderate	A
FL	female	other	45-64	some college	moderate	A
TN	male	white	45-64	college graduate	liberal	A
MI	male	white	45-64	high school graduate	moderate	A
NY	male	white	45-64	college graduate	liberal	A
OH	male	white	30-44	college graduate	moderate	B
OR	male	hispanic	30-44	some college	moderate	A
PA	female	white	45-64	college graduate	liberal	A
RI	female	white	45-64	college graduate	moderate	A
FL	female	white	65+	some college	conservative	B
TN	female	white	65+	high school graduate	moderate	B
IL	male	white	45-64	high school graduate	liberal	A
MS	male	white	45-64	high school graduate	conservative	B
KY	female	white	45-64	some college	conservative	B
MI	female	other	45-64	some college	liberal	B
FL	female	white	65+	college graduate	moderate	A
NC	female	white	45-64	some college	conservative	B
NY	female	other	30-44	high school graduate	liberal	B
NJ	male	white	30-44	college graduate	moderate	A
NC	male	white	45-64	college graduate	conservative	B
NY	female	white	30-44	college graduate	moderate	A
MO	female	white	45-64	high school graduate	moderate	A
SD	female	white	65+	high school graduate	conservative	B
CA	female	white	45-64	college graduate	moderate	B
CA	female	white	45-64	college graduate	moderate	A
MN	male	white	30-44	high school graduate	liberal	B
FL	female	white	30-44	some college	conservative	B
NJ	male	white	30-44	college graduate	moderate	A
MO	female	white	45-64	high school graduate	conservative	B
FL	female	other	45-64	high school graduate	conservative	B
MD	female	black	45-64	college graduate	moderate	A
LA	female	white	30-44	college graduate	moderate	B
CA	female	hispanic	30-44	college graduate	moderate	B
NY	female	white	45-64	some college	conservative	B
MS	female	white	18-29	some college	moderate	B
PA	female	black	30-44	some college	moderate	A
TN	male	white	45-64	some college	moderate	B
CO	female	white	18-29	high school graduate	moderate	B
MD	female	black	45-64	college graduate	moderate	A
GA	male	white	18-29	some college	moderate	A
MD	female	white	45-64	some college	liberal	B
LA	female	white	45-64	college graduate	moderate	B
CA	female	hispanic	30-44	high school graduate	moderate	A
IL	male	black	30-44	some college	moderate	A
CA	male	white	18-29	college graduate	moderate	A
LA	male	white	18-29	some college	moderate	B
OR	female	white	30-44	college graduate	moderate	A
UT	female	white	18-29	some college	moderate	B
CA	female	white	65+	some college	liberal	A
MI	female	white	30-44	high school graduate	moderate	A
NM	female	hispanic	30-44	high school graduate	moderate	A
OK	male	white	45-64	college graduate	conservative	B
OK	female	white	45-64	college graduate	liberal	A
FL	female	black	30-44	high school graduate	moderate	A
TX	female	white	18-29	some college	conservative	A
MA	female	white	18-29	high school graduate	liberal	A
WA	female	white	45-64	some college	moderate	A
PA	female	other	30-44	college graduate	liberal	A
CO	male	white	45-64	college graduate	liberal	A
PA	male	black	30-44	college graduate	conservative	A
NJ	male	other	45-64	college graduate	moderate	B
IN	female	white	65+	high school graduate	liberal	A
OH	male	black	18-29	college graduate	moderate	A
OH	male	white	18-29	some college	conservative	B
CO	female	white	30-44	college graduate	conservative	B
NY	male	white	65+	high school graduate	conservative	B
MD	female	black	45-64	high school graduate	liberal	A
MD	female	white	30-44	some college	liberal	A
MI	female	white	18-29	some college	liberal	A
LA	male	black	45-64	college graduate	moderate	A
CA	female	hispanic	30-44	high school graduate	moderate	A
MO	male	white	30-44	college graduate	liberal	A
FL	female	hispanic	18-29	college graduate	liberal	A
NC	female	hispanic	45-64	college graduate	liberal	A
NJ	female	white	18-29	high school graduate	liberal	A
TX	male	hispanic	45-64	high school graduate	conservative	B
NM	female	other	45-64	some college	conservative	A
FL	female	other	45-64	college graduate	moderate	A
CT	female	hispanic	18-29	some college	moderate	A
MD	female	white	18-29	some college	moderate	B
MA	female	white	65+	college graduate	moderate	A
NJ	female	white	18-29	high school graduate	moderate	B
FL	female	white	45-64	some college	conservative	B
NJ	female	white	18-29	some college	liberal	A
CA	male	hispanic	65+	high school graduate	moderate	A
WI	male	white	45-64	college graduate	moderate	A
CA	male	white	30-44	some college	moderate	A
TN	female	white	45-64	some college	moderate	B
CA	female	white	30-44	college graduate	conservative	B
MN	female	white	45-64	some college	moderate	B
NY	female	white	18-29	college graduate	moderate	A
CA	male	hispanic	30-44	some college	liberal	A
NC	male	black	30-44	didn't graduate from HS	liberal	A
MI	female	white	45-64	some college	conservative	B
WV	male	white	18-29	some college	conservative	B
MI	male	white	30-44	college graduate	conservative	B
CA	male	white	18-29	some college	moderate	A
DE	male	black	30-44	college graduate	moderate	A
GA	female	white	30-44	some college	moderate	A
VT	male	white	30-44	some college	moderate	A
CA	male	white	18-29	some college	moderate	A
MN	female	hispanic	65+	high school graduate	moderate	A
CA	female	white	18-29	some college	liberal	A
CO	male	white	45-64	high school graduate	moderate	A
GA	female	white	45-64	college graduate	moderate	B
NJ	female	white	65+	high school graduate	moderate	A
GA	male	black	30-44	college graduate	conservative	A
AK	female	white	45-64	college graduate	moderate	A
PA	female	white	45-64	some college	moderate	B
IL	female	white	18-29	high school graduate	liberal	A
KY	male	white	30-44	college graduate	conservative	B
IL	female	black	30-44	high school graduate	liberal	A
CA	male	black	65+	high school graduate	conservative	B
CT	female	white	18-29	college graduate	liberal	A
TX	male	white	45-64	college graduate	conservative	B
FL	male	white	30-44	college graduate	moderate	B
LA	female	white	30-44	some college	moderate	B
CA	female	black	45-64	some college	moderate	A
NY	male	white	30-44	college graduate	moderate	B
NY	female	white	45-64	high school graduate	moderate	A
NV	male	white	30-44	college graduate	moderate	B
NY	male	black	18-29	didn't graduate from HS	liberal	A
FL	female	black	30-44	high school graduate	conservative	A
CA	female	white	30-44	some college	conservative	A
TX	female	hispanic	45-64	college graduate	liberal	A
IN	male	black	18-29	college graduate	liberal	A
UT	male	white	30-44	college graduate	conservative	B
FL	female	hispanic	45-64	college graduate	liberal	A
NJ	female	white	18-29	college graduate	liberal	A
CA	female	black	18-29	college graduate	moderate	A
MN	male	white	45-64	some college	conservative	A
AK	female	white	18-29	some college	conservative	B
ME	female	white	30-44	college graduate	conservative	B
MO	male	white	45-64	some college	moderate	A
CA	female	other	45-64	college graduate	moderate	A
NV	female	black	30-44	some college	liberal	A
NY	female	black	45-64	some college	liberal	A
CA	female	hispanic	45-64	some college	moderate	B
MN	female	black	30-44	high school graduate	moderate	A
UT	male	white	30-44	some college	moderate	A
OK	female	other	45-64	high school graduate	moderate	A
MA	female	white	45-64	high school graduate	conservative	B
NY	female	white	30-44	college graduate	moderate	A
GA	female	black	45-64	high school graduate	moderate	A
WI	female	white	18-29	college graduate	liberal	B
NJ	female	white	18-29	college graduate	liberal	A
UT	male	black	45-64	some college	moderate	B
IL	male	white	65+	college graduate	conservative	A
FL	male	black	45-64	high school graduate	liberal	A
NJ	male	black	30-44	some college	conservative	A
CA	female	white	30-44	college graduate	liberal	A
MI	female	white	45-64	some college	moderate	A
ME	male	white	45-64	college graduate	liberal	A
MO	male	white	30-44	some college	moderate	A
SC	male	black	30-44	high school graduate	liberal	A
OH	female	white	45-64	some college	conservative	B
TX	female	other	45-64	some college	conservative	B
NM	female	white	45-64	high school graduate	conservative	B
FL	male	white	30-44	some college	conservative	A
NM	male	other	45-64	some college	moderate	B
OH	female	white	30-44	some college	conservative	B
NY	female	white	65+	college graduate	conservative	B
NJ	male	white	18-29	some college	conservative	B
NJ	male	white	45-64	college graduate	conservative	B
OR	male	white	45-64	some college	moderate	A
IN	female	white	65+	high school graduate	conservative	B
OK	male	white	30-44	some college	moderate	B
CA	female	white	65+	college graduate	moderate	B
KY	male	white	30-44	some college	conservative	B
MO	female	white	18-29	some college	conservative	B
NJ	male	white	65+	some college	moderate	B
MO	male	white	18-29	college graduate	conservative	B
MI	male	white	18-29	some college	liberal	A
WI	male	white	45-64	high school graduate	liberal	A
IL	female	white	45-64	high school graduate	moderate	A
OH	female	black	30-44	high school graduate	liberal	A
FL	male	white	65+	college graduate	moderate	B
IA	female	white	18-29	high school graduate	moderate	A
KS	male	white	30-44	high school graduate	moderate	A
CA	female	hispanic	18-29	some college	moderate	A
IN	male	white	45-64	high school graduate	conservative	B
NJ	female	white	45-64	college graduate	liberal	A
OH	female	white	45-64	college graduate	liberal	A
OR	female	white	18-29	high school graduate	liberal	A
MD	male	black	45-64	some college	liberal	A
VA	female	white	30-44	college graduate	moderate	A
OK	female	black	30-44	some college	liberal	A
FL	female	black	30-44	some college	moderate	A
FL	female	white	30-44	some college	moderate	B
CT	female	hispanic	45-64	college graduate	moderate	A
WA	male	white	45-64	some college	conservative	B
WA	female	white	30-44	some college	moderate	B
OR	male	white	30-44	high school graduate	conservative	B
IL	female	white	45-64	some college	moderate	A
SC	female	white	45-64	college graduate	conservative	B
TN	female	white	45-64	college graduate	moderate	B
MD	female	black	18-29	high school graduate	conservative	A
OH	male	white	45-64	some college	moderate	A
WV	male	white	18-29	high school graduate	conservative	B
CA	male	hispanic	18-29	high school graduate	liberal	A
WV	female	white	30-44	high school graduate	liberal	B
TN	female	white	30-44	some college	moderate	B
NC	male	white	30-44	high school graduate	moderate	A
GA	male	white	45-64	some college	liberal	A
MI	male	black	30-44	didn't graduate from HS	moderate	A
NC	male	white	30-44	some college	liberal	A
WA	male	white	18-29	college graduate	moderate	A
CT	male	white	30-44	college graduate	conservative	B
FL	female	hispanic	18-29	college graduate	liberal	A
CA	male	white	45-64	college graduate	moderate	A
FL	male	white	30-44	college graduate	conservative	B
NC	female	white	18-29	college graduate	moderate	A
NY	female	white	65+	high school graduate	conservative	B
FL	male	white	65+	college graduate	conservative	B
NY	female	white	45-64	college graduate	moderate	B
NY	male	other	45-64	high school graduate	liberal	A
MA	female	hispanic	18-29	college graduate	liberal	A
IL	female	white	45-64	college graduate	liberal	A
TN	female	white	65+	high school graduate	liberal	A
OR	female	white	45-64	high school graduate	moderate	A
RI	female	white	45-64	college graduate	moderate	A
FL	male	white	65+	high school graduate	liberal	A
TX	male	white	45-64	college graduate	moderate	B
FL	male	white	30-44	some college	conservative	B
TX	female	white	45-64	some college	conservative	B
CA	male	white	45-64	didn't graduate from HS	moderate	A
NY	female	white	18-29	college graduate	moderate	A
CA	male	white	45-64	college graduate	liberal	A
MS	female	white	45-64	college graduate	moderate	B
CA	female	white	45-64	college graduate	moderate	B
MN	male	white	45-64	some college	conservative	B
OH	female	black	30-44	some college	moderate	A
NC	female	white	30-44	college graduate	moderate	B
NE	female	white	30-44	some college	conservative	B
TX	female	other	30-44	didn't graduate from HS	moderate	B
GA	female	white	65+	didn't graduate from HS	conservative	B
OH	male	white	45-64	college graduate	moderate	A
NC	male	white	30-44	high school graduate	moderate	B
TX	female	hispanic	30-44	college graduate	moderate	B
OH	male	black	30-44	college graduate	moderate	A
FL	female	hispanic	30-44	college graduate	moderate	B
TX	male	black	30-44	college graduate	moderate	A
NC	male	white	65+	college graduate	moderate	A
OR	female	white	65+	high school graduate	moderate	A
WA	female	black	45-64	some college	moderate	A
TX	male	white	45-64	some college	liberal	B
NY	male	white	65+	college graduate	moderate	B
NY	female	white	45-64	some college	moderate	A
LA	female	white	30-44	college graduate	moderate	A
OK	female	white	45-64	college graduate	conservative	B
GA	male	hispanic	18-29	some college	moderate	A
OH	female	white	45-64	some college	conservative	A
AR	female	black	18-29	high school graduate	moderate	A
NY	female	white	18-29	college graduate	liberal	A
CA	female	white	30-44	college graduate	moderate	B
MA	male	white	65+	college graduate	moderate	A
TX	male	white	65+	high school graduate	moderate	B
NJ	male	white	30-44	college graduate	moderate	A
IL	female	black	18-29	some college	moderate	A
OH	male	white	45-64	college graduate	liberal	A
AZ	female	white	45-64	some college	liberal	A
OH	male	white	18-29	college graduate	conservative	B
NY	female	hispanic	18-29	college graduate	liberal	A
IL	female	black	30-44	college graduate	moderate	A
FL	female	hispanic	30-44	college graduate	moderate	B
LA	female	black	45-64	high school graduate	conservative	A
