state	sex	race	age	education	party	ideology	vote_2008	state_contestedness
ID	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
NM	male	hispanic	65+	high school graduate	republican	conservative	john mcCain	quasi-battleground
CO	female	white	30-44	some college	republican	conservative	john mcCain	battleground
MD	male	white	30-44	some college	democrat	moderate	barack obama	solid obama
WV	male	white	45-64	high school graduate	other	moderate	barack obama	solid romney
TN	male	white	65+	college graduate	other	conservative	john mcCain	solid romney
WI	female	white	18-29	high school graduate	republican	conservative	john mcCain	quasi-battleground
MO	male	white	45-64	college graduate	democrat	liberal	barack obama	solid romney
CA	female	hispanic	45-64	high school graduate	democrat	moderate	barack obama	solid obama
NJ	male	black	30-44	college graduate	other	moderate	barack obama	solid obama
DE	female	white	45-64	some college	other	moderate	barack obama	solid obama
NY	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
FL	male	hispanic	30-44	college graduate	republican	conservative	john mcCain	battleground
MI	female	white	30-44	some college	democrat	liberal	barack obama	quasi-battleground
FL	male	white	65+	college graduate	democrat	moderate	john mcCain	battleground
CA	female	hispanic	45-64	some college	democrat	moderate	barack obama	solid obama
NC	female	black	45-64	high school graduate	democrat	conservative	barack obama	quasi-battleground
IL	female	white	45-64	some college	democrat	moderate	barack obama	solid obama
WA	female	white	18-29	college graduate	other	moderate	john mcCain	solid obama
CA	female	white	18-29	high school graduate	republican	liberal	john mcCain	solid obama
CA	male	white	45-64	some college	other	conservative	john mcCain	solid obama
NY	male	white	45-64	college graduate	other	moderate	john mcCain	solid obama
CA	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid obama
NJ	male	hispanic	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid obama
FL	female	white	18-29	some college	other	moderate	barack obama	battleground
IL	female	white	45-64	some college	republican	moderate	barack obama	solid obama
TX	male	white	45-64	high school graduate	republican	moderate	john mcCain	solid romney
MO	male	white	45-64	high school graduate	other	moderate	john mcCain	solid romney
KS	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
PA	male	white	18-29	some college	republican	moderate	john mcCain	quasi-battleground
NC	female	white	45-64	college graduate	democrat	liberal	barack obama	quasi-battleground
IA	female	white	30-44	college graduate	other	moderate	barack obama	battleground
TX	female	black	18-29	high school graduate	democrat	moderate	barack obama	solid romney
KS	male	black	45-64	some college	democrat	liberal	john mcCain	solid romney
NY	male	white	45-64	high school graduate	other	moderate	barack obama	solid obama
IL	male	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
WV	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
TX	female	black	18-29	college graduate	democrat	conservative	barack obama	solid romney
TX	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
FL	female	hispanic	18-29	college graduate	other	moderate	john mcCain	battleground
WA	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
GA	male	white	18-29	high school graduate	republican	conservative	john mcCain	solid romney
OK	male	white	18-29	some college	other	conservative	john mcCain	solid romney
CA	female	white	65+	college graduate	democrat	moderate	barack obama	solid obama
ID	female	hispanic	30-44	some college	republican	conservative	john mcCain	solid romney
FL	female	white	45-64	college graduate	other	liberal	barack obama	battleground
TX	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
MA	male	white	45-64	some college	other	moderate	john mcCain	solid obama
NY	female	hispanic	65+	high school graduate	democrat	liberal	barack obama	solid obama
NC	female	white	30-44	college graduate	other	liberal	barack obama	quasi-battleground
AL	female	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
LA	female	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
IL	female	black	30-44	didn't graduate from HS	democrat	moderate	barack obama	solid obama
TX	male	white	65+	college graduate	democrat	conservative	john mcCain	solid romney
IL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
PA	male	white	30-44	some college	republican	moderate	john mcCain	quasi-battleground
MO	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
CA	female	other	45-64	some college	other	moderate	barack obama	solid obama
CO	male	white	65+	high school graduate	republican	moderate	john mcCain	battleground
AZ	female	hispanic	18-29	some college	republican	moderate	john mcCain	solid romney
CO	female	white	30-44	some college	republican	moderate	john mcCain	battleground
TX	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
CO	male	white	65+	college graduate	republican	conservative	john mcCain	battleground
TX	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
IL	female	hispanic	45-64	some college	democrat	moderate	barack obama	solid obama
TX	female	white	18-29	some college	democrat	moderate	barack obama	solid romney
IN	female	white	30-44	some college	other	liberal	barack obama	solid romney
IL	female	white	45-64	some college	republican	conservative	john mcCain	solid obama
FL	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
CA	male	white	45-64	high school graduate	other	moderate	john mcCain	solid obama
IN	male	black	30-44	some college	democrat	liberal	barack obama	solid romney
CA	male	white	45-64	some college	republican	conservative	john mcCain	solid obama
TX	male	hispanic	65+	didn't graduate from HS	democrat	moderate	barack obama	solid romney
OH	male	white	45-64	some college	republican	moderate	john mcCain	battleground
CA	male	white	30-44	college graduate	other	moderate	john mcCain	solid obama
NC	female	white	45-64	high school graduate	democrat	conservative	barack obama	quasi-battleground
WI	female	white	30-44	some college	republican	conservative	john mcCain	quasi-battleground
WA	male	black	30-44	college graduate	democrat	liberal	barack obama	solid obama
TX	male	white	30-44	high school graduate	other	conservative	john mcCain	solid romney
MI	male	white	65+	high school graduate	democrat	conservative	barack obama	quasi-battleground
TN	female	white	18-29	some college	other	liberal	barack obama	solid romney
CA	female	white	18-29	some college	other	moderate	barack obama	solid obama
IL	female	black	30-44	some college	democrat	conservative	barack obama	solid obama
CA	male	hispanic	18-29	college graduate	democrat	moderate	john mcCain	solid obama
MD	female	white	30-44	some college	democrat	liberal	barack obama	solid obama
MA	male	white	45-64	didn't graduate from HS	republican	liberal	barack obama	solid obama
CA	male	hispanic	30-44	high school graduate	other	moderate	barack obama	solid obama
OR	male	white	65+	college graduate	democrat	liberal	barack obama	solid obama
FL	female	black	18-29	some college	democrat	conservative	barack obama	battleground
OH	female	black	45-64	some college	democrat	liberal	barack obama	battleground
MI	female	white	18-29	some college	republican	moderate	john mcCain	quasi-battleground
NC	male	white	45-64	college graduate	other	moderate	barack obama	quasi-battleground
VA	male	white	30-44	college graduate	republican	conservative	john mcCain	battleground
CA	female	other	18-29	some college	democrat	liberal	barack obama	solid obama
IN	male	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
UT	female	white	45-64	some college	democrat	liberal	john mcCain	solid romney
AL	female	black	30-44	college graduate	democrat	liberal	barack obama	solid romney
CA	female	other	30-44	some college	democrat	liberal	barack obama	solid obama
WI	male	white	18-29	some college	other	moderate	barack obama	quasi-battleground
OK	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
CT	female	white	45-64	some college	other	conservative	john mcCain	solid obama
MA	male	white	18-29	college graduate	other	liberal	john mcCain	solid obama
OH	male	white	45-64	college graduate	other	conservative	john mcCain	battleground
IA	male	white	30-44	college graduate	republican	conservative	john mcCain	battleground
IL	male	hispanic	45-64	college graduate	other	conservative	john mcCain	solid obama
WI	female	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
IL	female	hispanic	30-44	college graduate	other	liberal	john mcCain	solid obama
CA	female	white	45-64	some college	republican	conservative	john mcCain	solid obama
WA	female	white	65+	high school graduate	democrat	moderate	barack obama	solid obama
NC	female	black	30-44	some college	democrat	moderate	barack obama	quasi-battleground
WI	male	white	45-64	high school graduate	republican	liberal	john mcCain	quasi-battleground
UT	male	white	18-29	some college	other	liberal	barack obama	solid romney
CA	male	white	65+	college graduate	democrat	moderate	barack obama	solid obama
OK	male	white	65+	college graduate	other	conservative	john mcCain	solid romney
CA	female	white	30-44	some college	republican	moderate	john mcCain	solid obama
FL	male	white	65+	high school graduate	other	moderate	barack obama	battleground
OH	female	white	18-29	high school graduate	democrat	liberal	john mcCain	battleground
IA	female	white	30-44	some college	republican	conservative	john mcCain	battleground
NC	male	hispanic	45-64	college graduate	democrat	moderate	barack obama	quasi-battleground
KY	female	white	30-44	college graduate	republican	conservative	john mcCain	solid romney
MO	female	black	65+	college graduate	democrat	moderate	barack obama	solid romney
LA	male	white	30-44	high school graduate	other	moderate	barack obama	solid romney
MS	female	white	30-44	college graduate	other	moderate	barack obama	solid romney
GA	female	black	18-29	some college	democrat	moderate	barack obama	solid romney
OH	female	white	18-29	college graduate	democrat	liberal	barack obama	battleground
KS	female	white	30-44	college graduate	other	moderate	barack obama	solid romney
PA	female	white	18-29	some college	other	liberal	barack obama	quasi-battleground
TN	female	white	18-29	didn't graduate from HS	republican	moderate	john mcCain	solid romney
NJ	male	white	45-64	high school graduate	republican	moderate	john mcCain	solid obama
IL	male	white	30-44	some college	republican	moderate	john mcCain	solid obama
AZ	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
NH	male	white	45-64	college graduate	republican	moderate	barack obama	battleground
CA	male	black	45-64	some college	democrat	moderate	barack obama	solid obama
NE	female	white	30-44	college graduate	republican	moderate	barack obama	solid romney
IA	male	white	30-44	college graduate	other	moderate	barack obama	battleground
GA	male	white	45-64	high school graduate	republican	moderate	john mcCain	solid romney
MN	female	white	45-64	high school graduate	other	moderate	john mcCain	quasi-battleground
CA	female	white	30-44	some college	republican	moderate	john mcCain	solid obama
MA	female	white	18-29	college graduate	other	moderate	barack obama	solid obama
TX	male	other	65+	college graduate	other	conservative	john mcCain	solid romney
TX	female	white	30-44	high school graduate	democrat	liberal	barack obama	solid romney
FL	female	white	65+	college graduate	republican	moderate	john mcCain	battleground
WA	male	white	45-64	some college	other	moderate	barack obama	solid obama
CA	male	white	45-64	some college	other	conservative	john mcCain	solid obama
NY	female	white	18-29	college graduate	republican	moderate	john mcCain	solid obama
FL	male	hispanic	30-44	some college	other	conservative	barack obama	battleground
CA	male	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
OH	female	white	30-44	college graduate	republican	conservative	john mcCain	battleground
MN	male	white	65+	high school graduate	democrat	moderate	barack obama	quasi-battleground
MD	female	black	45-64	some college	democrat	conservative	barack obama	solid obama
CA	female	white	45-64	some college	other	moderate	barack obama	solid obama
IN	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
MA	female	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
TN	female	white	30-44	college graduate	republican	moderate	john mcCain	solid romney
VA	female	white	65+	high school graduate	republican	conservative	john mcCain	battleground
ME	female	white	65+	didn't graduate from HS	democrat	conservative	barack obama	solid obama
VA	female	black	18-29	some college	democrat	moderate	barack obama	battleground
PA	male	white	30-44	some college	republican	conservative	john mcCain	quasi-battleground
CA	male	white	65+	some college	other	conservative	john mcCain	solid obama
UT	female	white	18-29	college graduate	republican	conservative	john mcCain	solid romney
WI	female	white	18-29	some college	democrat	liberal	barack obama	quasi-battleground
WI	male	black	45-64	high school graduate	democrat	moderate	barack obama	quasi-battleground
LA	female	black	18-29	high school graduate	democrat	conservative	barack obama	solid romney
TX	male	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
AL	male	white	18-29	college graduate	republican	conservative	john mcCain	solid romney
MO	female	white	65+	college graduate	democrat	moderate	barack obama	solid romney
PA	male	white	45-64	college graduate	republican	liberal	john mcCain	quasi-battleground
VA	female	black	45-64	college graduate	democrat	moderate	barack obama	battleground
NC	female	white	45-64	some college	other	moderate	barack obama	quasi-battleground
CO	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
CT	male	white	45-64	high school graduate	other	conservative	barack obama	solid obama
TN	female	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
PA	female	white	18-29	some college	republican	conservative	john mcCain	quasi-battleground
NC	male	white	45-64	some college	republican	conservative	john mcCain	quasi-battleground
GA	female	white	45-64	some college	other	conservative	john mcCain	solid romney
IL	female	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
TX	female	other	18-29	college graduate	republican	conservative	john mcCain	solid romney
PA	male	white	18-29	college graduate	other	moderate	barack obama	quasi-battleground
KS	male	white	45-64	college graduate	democrat	moderate	barack obama	solid romney
FL	female	white	18-29	some college	other	moderate	barack obama	battleground
CA	male	white	65+	college graduate	democrat	moderate	john mcCain	solid obama
CA	female	black	45-64	college graduate	other	moderate	barack obama	solid obama
FL	male	black	18-29	some college	democrat	moderate	barack obama	battleground
VA	male	white	45-64	college graduate	other	moderate	john mcCain	battleground
FL	male	white	30-44	college graduate	republican	conservative	john mcCain	battleground
NH	male	white	45-64	college graduate	democrat	liberal	barack obama	battleground
MI	male	white	45-64	some college	republican	moderate	john mcCain	quasi-battleground
GA	female	black	45-64	high school graduate	democrat	moderate	barack obama	solid romney
MI	male	white	30-44	some college	democrat	moderate	barack obama	quasi-battleground
CA	female	hispanic	45-64	college graduate	republican	conservative	john mcCain	solid obama
CA	female	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
VA	male	white	45-64	college graduate	democrat	liberal	barack obama	battleground
OH	female	white	30-44	some college	democrat	moderate	barack obama	battleground
NC	male	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
AZ	female	hispanic	30-44	some college	other	moderate	john mcCain	solid romney
MA	female	black	45-64	college graduate	democrat	moderate	barack obama	solid obama
LA	female	black	30-44	some college	democrat	moderate	barack obama	solid romney
UT	male	white	30-44	some college	democrat	moderate	barack obama	solid romney
IL	female	white	45-64	high school graduate	other	conservative	john mcCain	solid obama
IA	male	white	18-29	some college	republican	moderate	john mcCain	battleground
WA	male	white	65+	high school graduate	democrat	moderate	barack obama	solid obama
LA	male	black	18-29	some college	democrat	moderate	barack obama	solid romney
UT	male	white	30-44	college graduate	republican	moderate	barack obama	solid romney
IL	male	white	18-29	college graduate	other	liberal	barack obama	solid obama
FL	male	white	65+	college graduate	republican	conservative	john mcCain	battleground
VA	male	white	30-44	high school graduate	democrat	moderate	barack obama	battleground
MD	female	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
UT	female	white	18-29	some college	republican	conservative	john mcCain	solid romney
CA	male	white	45-64	college graduate	democrat	liberal	barack obama	solid obama
ME	female	white	65+	didn't graduate from HS	democrat	conservative	barack obama	solid obama
IL	female	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
CA	female	other	30-44	college graduate	democrat	moderate	john mcCain	solid obama
GA	female	black	45-64	college graduate	democrat	liberal	barack obama	solid romney
CA	male	white	30-44	some college	republican	conservative	john mcCain	solid obama
CA	female	black	18-29	high school graduate	other	moderate	john mcCain	solid obama
ME	female	white	65+	high school graduate	democrat	liberal	barack obama	solid obama
TX	male	hispanic	65+	some college	other	conservative	barack obama	solid romney
WI	female	white	45-64	some college	republican	moderate	john mcCain	quasi-battleground
CA	male	hispanic	65+	college graduate	democrat	moderate	barack obama	solid obama
FL	male	white	45-64	high school graduate	republican	conservative	john mcCain	battleground
PA	male	white	30-44	high school graduate	democrat	moderate	john mcCain	quasi-battleground
KY	female	white	30-44	college graduate	other	moderate	john mcCain	solid romney
CA	female	white	65+	high school graduate	republican	conservative	john mcCain	solid obama
SC	male	black	45-64	high school graduate	democrat	moderate	barack obama	solid romney
MD	female	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
NJ	female	white	18-29	some college	other	liberal	john mcCain	solid obama
KY	male	white	45-64	college graduate	republican	moderate	john mcCain	solid romney
MN	female	white	45-64	some college	democrat	liberal	barack obama	quasi-battleground
WV	female	white	45-64	some college	democrat	moderate	barack obama	solid romney
MI	female	white	30-44	high school graduate	republican	liberal	john mcCain	quasi-battleground
OH	female	white	65+	high school graduate	other	conservative	barack obama	battleground
CA	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
MD	female	white	30-44	some college	democrat	moderate	barack obama	solid obama
FL	female	white	45-64	college graduate	other	moderate	john mcCain	battleground
MD	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid obama
PA	female	black	65+	high school graduate	democrat	conservative	barack obama	quasi-battleground
CA	male	black	18-29	high school graduate	other	liberal	barack obama	solid obama
VA	female	white	30-44	college graduate	other	conservative	john mcCain	battleground
MI	male	white	65+	high school graduate	republican	conservative	john mcCain	quasi-battleground
CA	female	white	65+	high school graduate	republican	conservative	john mcCain	solid obama
WI	female	white	45-64	college graduate	democrat	liberal	barack obama	quasi-battleground
MA	male	hispanic	30-44	some college	republican	conservative	john mcCain	solid obama
KY	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
MI	female	white	18-29	college graduate	democrat	moderate	john mcCain	quasi-battleground
CO	male	white	65+	college graduate	democrat	moderate	barack obama	battleground
NY	male	white	18-29	some college	republican	moderate	barack obama	solid obama
NY	female	white	45-64	college graduate	republican	conservative	barack obama	solid obama
TX	female	white	65+	didn't graduate from HS	other	conservative	john mcCain	solid romney
CA	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
MN	female	white	45-64	college graduate	other	moderate	barack obama	quasi-battleground
MO	female	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
GA	female	hispanic	30-44	some college	democrat	liberal	barack obama	solid romney
OK	male	white	45-64	high school graduate	republican	moderate	barack obama	solid romney
IL	female	white	18-29	college graduate	republican	conservative	john mcCain	solid obama
KY	female	white	18-29	didn't graduate from HS	republican	conservative	john mcCain	solid romney
ME	female	white	45-64	high school graduate	other	conservative	john mcCain	solid obama
OR	female	white	45-64	college graduate	other	moderate	john mcCain	solid obama
NJ	male	black	65+	college graduate	republican	liberal	barack obama	solid obama
MD	female	hispanic	18-29	high school graduate	republican	moderate	john mcCain	solid obama
MD	female	hispanic	18-29	high school graduate	other	moderate	john mcCain	solid obama
AL	male	black	30-44	high school graduate	democrat	liberal	barack obama	solid romney
NY	male	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
NC	female	white	30-44	some college	democrat	liberal	barack obama	quasi-battleground
CT	male	white	18-29	college graduate	republican	conservative	john mcCain	solid obama
IL	female	white	65+	college graduate	republican	moderate	john mcCain	solid obama
NY	female	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
AR	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
FL	female	black	18-29	college graduate	republican	conservative	barack obama	battleground
MO	female	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
OH	female	white	65+	high school graduate	republican	conservative	john mcCain	battleground
WA	male	white	30-44	college graduate	democrat	liberal	barack obama	solid obama
TX	female	white	65+	some college	other	moderate	john mcCain	solid romney
MD	female	white	30-44	some college	other	moderate	barack obama	solid obama
IL	male	white	18-29	college graduate	other	moderate	john mcCain	solid obama
NJ	male	white	30-44	college graduate	republican	moderate	john mcCain	solid obama
OH	female	white	30-44	college graduate	democrat	liberal	barack obama	battleground
OH	male	white	45-64	college graduate	republican	conservative	john mcCain	battleground
MD	female	white	45-64	high school graduate	republican	conservative	barack obama	solid obama
WI	female	white	30-44	high school graduate	republican	conservative	john mcCain	quasi-battleground
OK	male	white	45-64	college graduate	other	moderate	john mcCain	solid romney
IL	female	white	45-64	some college	republican	conservative	john mcCain	solid obama
RI	female	white	18-29	college graduate	republican	moderate	john mcCain	solid obama
TN	male	white	30-44	college graduate	other	liberal	barack obama	solid romney
CT	female	white	18-29	some college	democrat	liberal	barack obama	solid obama
CA	female	black	65+	some college	other	moderate	barack obama	solid obama
IL	female	white	18-29	college graduate	democrat	liberal	barack obama	solid obama
MO	female	hispanic	18-29	college graduate	democrat	moderate	barack obama	solid romney
NC	male	white	45-64	some college	democrat	moderate	barack obama	quasi-battleground
OR	female	white	45-64	college graduate	other	liberal	barack obama	solid obama
IL	female	white	18-29	some college	republican	moderate	barack obama	solid obama
TX	female	hispanic	18-29	college graduate	democrat	liberal	barack obama	solid romney
MO	male	black	45-64	didn't graduate from HS	democrat	liberal	barack obama	solid romney
TN	female	white	45-64	college graduate	democrat	moderate	barack obama	solid romney
CT	male	white	30-44	high school graduate	other	conservative	barack obama	solid obama
MI	female	white	18-29	some college	republican	moderate	barack obama	quasi-battleground
MS	male	white	45-64	college graduate	other	conservative	john mcCain	solid romney
TX	female	white	45-64	some college	other	moderate	barack obama	solid romney
TX	female	white	30-44	college graduate	other	moderate	john mcCain	solid romney
TX	female	white	45-64	college graduate	democrat	moderate	john mcCain	solid romney
PA	female	other	30-44	college graduate	democrat	moderate	barack obama	quasi-battleground
WV	male	white	45-64	some college	democrat	liberal	john mcCain	solid romney
IL	female	white	45-64	some college	republican	moderate	john mcCain	solid obama
WV	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
FL	male	white	45-64	college graduate	republican	moderate	barack obama	battleground
NJ	female	white	45-64	college graduate	republican	moderate	john mcCain	solid obama
TX	male	white	65+	didn't graduate from HS	other	moderate	barack obama	solid romney
CA	male	other	45-64	some college	democrat	conservative	barack obama	solid obama
TN	female	white	65+	college graduate	democrat	moderate	john mcCain	solid romney
MI	male	white	45-64	high school graduate	democrat	moderate	barack obama	quasi-battleground
OK	female	white	30-44	high school graduate	democrat	moderate	john mcCain	solid romney
MA	male	white	45-64	some college	democrat	liberal	barack obama	solid obama
MO	female	black	18-29	college graduate	democrat	liberal	barack obama	solid romney
IL	female	white	45-64	some college	other	moderate	barack obama	solid obama
TX	female	black	30-44	high school graduate	republican	conservative	john mcCain	solid romney
NJ	male	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
NJ	female	white	18-29	some college	other	liberal	john mcCain	solid obama
NJ	male	white	30-44	some college	other	conservative	john mcCain	solid obama
PA	female	hispanic	30-44	some college	democrat	liberal	barack obama	quasi-battleground
CA	female	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
TN	female	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
NY	female	white	18-29	high school graduate	republican	moderate	barack obama	solid obama
PA	female	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
AL	female	black	30-44	college graduate	democrat	liberal	barack obama	solid romney
NY	male	black	45-64	high school graduate	democrat	moderate	barack obama	solid obama
PA	male	white	45-64	college graduate	other	moderate	john mcCain	quasi-battleground
FL	female	white	30-44	some college	other	moderate	john mcCain	battleground
PA	male	other	18-29	college graduate	democrat	moderate	barack obama	quasi-battleground
